"GreensinRegulationPercentage_RANKTHISWEEK_2013","GreensinRegulationPercentage_RANKLASTWEEK_2013","GreensinRegulationPercentage_PLAYERNAME_2013","GreensinRegulationPercentage_ROUNDS_2013","GreensinRegulationPercentage_Pct_2013","GreensinRegulationPercentage_GREENSHIT_2013","GreensinRegulationPercentage_HOLES_2013","GreensinRegulationPercentage_RELATIVEPAR_2013","stat_name","year"
1,1,"Henrik Stenson",65,71.96,829,1152,-0.27,"GreensinRegulationPercentage",2013
2,2,"Steve Stricker",51,71.16,602,846,-0.3,"GreensinRegulationPercentage",2013
3,3,"Graham DeLaet",94,70.51,1193,1692,-0.25,"GreensinRegulationPercentage",2013
4,4,"Ricky Barnes",74,70.48,888,1260,-0.21,"GreensinRegulationPercentage",2013
5,5,"Bubba Watson",76,69.41,912,1314,-0.27,"GreensinRegulationPercentage",2013
6,6,"Boo Weekley",100,69.39,1249,1800,-0.24,"GreensinRegulationPercentage",2013
7,7,"Vijay Singh",61,69.13,759,1098,-0.16,"GreensinRegulationPercentage",2013
8,8,"Kevin Stadler",83,68.92,980,1422,-0.29,"GreensinRegulationPercentage",2013
9,9,"Justin Rose",62,68.89,744,1080,-0.26,"GreensinRegulationPercentage",2013
10,10,"Brendon de Jonge",110,68.84,1363,1980,-0.26,"GreensinRegulationPercentage",2013
11,11,"Adam Scott",61,68.8,743,1080,-0.27,"GreensinRegulationPercentage",2013
12,12,"Justin Hicks",79,68.59,926,1350,-0.23,"GreensinRegulationPercentage",2013
13,13,"Nick Watney",88,68.48,1060,1548,-0.24,"GreensinRegulationPercentage",2013
14,14,"Jim Furyk",80,68.3,959,1404,-0.25,"GreensinRegulationPercentage",2013
15,15,"Zach Johnson",84,68.14,1018,1494,-0.25,"GreensinRegulationPercentage",2013
16,16,"Jim Herman",59,67.98,673,990,-0.24,"GreensinRegulationPercentage",2013
17,17,"JJ Henry",83,67.97,991,1458,-0.21,"GreensinRegulationPercentage",2013
18,18,"Pat Perez",69,67.87,843,1242,-0.27,"GreensinRegulationPercentage",2013
18,18,"DJ Trahan",48,67.87,562,828,-0.24,"GreensinRegulationPercentage",2013
20,20,"Nicholas Thompson",99,67.85,1209,1782,-0.24,"GreensinRegulationPercentage",2013
21,21,"Bill Haas",85,67.79,1025,1512,-0.26,"GreensinRegulationPercentage",2013
22,22,"Stewart Cink",71,67.76,866,1278,-0.24,"GreensinRegulationPercentage",2013
23,23,"Rory Sabbatini",86,67.75,1000,1476,-0.28,"GreensinRegulationPercentage",2013
24,24,"Tiger Woods",61,67.59,730,1080,-0.31,"GreensinRegulationPercentage",2013
25,25,"Hunter Mahan",91,67.58,1034,1530,-0.26,"GreensinRegulationPercentage",2013
26,26,"Jason Dufner",78,67.53,936,1386,-0.24,"GreensinRegulationPercentage",2013
27,27,"Billy Horschel",96,67.48,1166,1728,-0.29,"GreensinRegulationPercentage",2013
28,28,"Steve LeBrun",66,67.47,753,1116,-0.22,"GreensinRegulationPercentage",2013
29,29,"Sergio Garcia",65,67.46,765,1134,-0.28,"GreensinRegulationPercentage",2013
30,30,"John Rollins",77,67.43,886,1314,-0.26,"GreensinRegulationPercentage",2013
31,31,"Henrik Norlander",70,67.4,825,1224,-0.24,"GreensinRegulationPercentage",2013
32,32,"Kyle Stanley",71,67.37,861,1278,-0.21,"GreensinRegulationPercentage",2013
33,33,"Roberto Castro",97,67.3,1175,1746,-0.26,"GreensinRegulationPercentage",2013
34,34,"Chad Campbell",78,67.03,917,1368,-0.24,"GreensinRegulationPercentage",2013
35,35,"Cameron Tringale",80,67.01,965,1440,-0.25,"GreensinRegulationPercentage",2013
36,36,"Gary Woodland",94,66.98,1085,1620,-0.28,"GreensinRegulationPercentage",2013
37,37,"Jordan Spieth",82,66.94,988,1476,-0.3,"GreensinRegulationPercentage",2013
38,38,"Nicolas Colsaerts",50,66.78,565,846,-0.2,"GreensinRegulationPercentage",2013
39,39,"Dustin Johnson",71,66.75,841,1260,-0.29,"GreensinRegulationPercentage",2013
40,40,"Chez Reavie",72,66.74,865,1296,-0.25,"GreensinRegulationPercentage",2013
40,40,"Camilo Villegas",79,66.74,901,1350,-0.27,"GreensinRegulationPercentage",2013
42,42,"Charles Howell III",87,66.73,1021,1530,-0.28,"GreensinRegulationPercentage",2013
43,43,"Phil Mickelson",78,66.67,936,1404,-0.32,"GreensinRegulationPercentage",2013
43,43,"Webb Simpson",92,66.67,1056,1584,-0.27,"GreensinRegulationPercentage",2013
45,45,"John Huh",88,66.6,1055,1584,-0.22,"GreensinRegulationPercentage",2013
46,46,"Brad Fritsch",81,66.59,923,1386,-0.27,"GreensinRegulationPercentage",2013
47,47,"Jeff Maggert",63,66.58,755,1134,-0.23,"GreensinRegulationPercentage",2013
48,48,"Eric Meierdierks",48,66.55,551,828,-0.21,"GreensinRegulationPercentage",2013
49,49,"Keegan Bradley",88,66.54,1042,1566,-0.29,"GreensinRegulationPercentage",2013
50,50,"John Merrick",79,66.53,946,1422,-0.26,"GreensinRegulationPercentage",2013
50,50,"Josh Teater",86,66.53,982,1476,-0.26,"GreensinRegulationPercentage",2013
52,52,"Richard Lee",81,66.52,922,1386,-0.24,"GreensinRegulationPercentage",2013
53,53,"Trevor Immelman",73,66.51,826,1242,-0.18,"GreensinRegulationPercentage",2013
54,54,"Lucas Glover",65,66.41,777,1170,-0.21,"GreensinRegulationPercentage",2013
54,54,"Kevin Streelman",86,66.41,1028,1548,-0.25,"GreensinRegulationPercentage",2013
56,56,"Ryan Palmer",79,66.24,942,1422,-0.3,"GreensinRegulationPercentage",2013
56,56,"Mark Wilson",56,66.24,620,936,-0.21,"GreensinRegulationPercentage",2013
58,58,"Robert Garrigus",69,66.15,774,1170,-0.3,"GreensinRegulationPercentage",2013
59,59,"Michael Bradley",56,66.13,619,936,-0.19,"GreensinRegulationPercentage",2013
60,60,"Kevin Chappell",80,66.11,952,1440,-0.25,"GreensinRegulationPercentage",2013
61,61,"Jimmy Walker",84,66.07,999,1512,-0.29,"GreensinRegulationPercentage",2013
62,62,"Ryo Ishikawa",72,66.03,832,1260,-0.22,"GreensinRegulationPercentage",2013
63,63,"Harris English",95,66.02,1129,1710,-0.29,"GreensinRegulationPercentage",2013
64,64,"Brandt Jobe",62,66,689,1044,-0.23,"GreensinRegulationPercentage",2013
64,64,"Matt Jones",83,66,986,1494,-0.27,"GreensinRegulationPercentage",2013
66,66,"Brendan Steele",86,65.99,974,1476,-0.25,"GreensinRegulationPercentage",2013
67,67,"DH Lee",65,65.98,772,1170,-0.26,"GreensinRegulationPercentage",2013
68,68,"John Senden",79,65.95,926,1404,-0.22,"GreensinRegulationPercentage",2013
69,69,"Chris Kirk",89,65.92,1056,1602,-0.31,"GreensinRegulationPercentage",2013
70,70,"Andrew Svoboda",46,65.91,522,792,-0.24,"GreensinRegulationPercentage",2013
71,71,"KJ Choi",85,65.87,996,1512,-0.22,"GreensinRegulationPercentage",2013
72,72,"Charl Schwartzel",69,65.85,806,1224,-0.31,"GreensinRegulationPercentage",2013
