"ConsecutiveBirdiesStreak_RANKTHISWEEK_2009","ConsecutiveBirdiesStreak_RANKLASTWEEK_2009","ConsecutiveBirdiesStreak_PLAYERNAME_2009","ConsecutiveBirdiesStreak_EVENTS_2009","ConsecutiveBirdiesStreak_NUMBEROFHOLES_2009","stat_name","year"
1,1,"Mark Calcavecchia",23,9,"ConsecutiveBirdiesStreak",2009
2,2,"Brian Davis",32,7,"ConsecutiveBirdiesStreak",2009
2,2,"Ryuji Imada",25,7,"ConsecutiveBirdiesStreak",2009
2,2,"Jesper Parnevik",14,7,"ConsecutiveBirdiesStreak",2009
5,5,"Luke Donald",21,6,"ConsecutiveBirdiesStreak",2009
5,5,"Freddie Jacobson",25,6,"ConsecutiveBirdiesStreak",2009
5,5,"Nick OHern",27,6,"ConsecutiveBirdiesStreak",2009
5,5,"Jeev Milkha Singh",15,6,"ConsecutiveBirdiesStreak",2009
5,5,"Bo Van Pelt",30,6,"ConsecutiveBirdiesStreak",2009
5,5,"Camilo Villegas",21,6,"ConsecutiveBirdiesStreak",2009
5,5,"Jimmy Walker",24,6,"ConsecutiveBirdiesStreak",2009
5,5,"Boo Weekley",22,6,"ConsecutiveBirdiesStreak",2009
13,13,"Stephen Ames",23,5,"ConsecutiveBirdiesStreak",2009
13,13,"Stuart Appleby",25,5,"ConsecutiveBirdiesStreak",2009
13,13,"Briny Baird",28,5,"ConsecutiveBirdiesStreak",2009
13,13,"Chad Campbell",26,5,"ConsecutiveBirdiesStreak",2009
13,13,"Fred Couples",16,5,"ConsecutiveBirdiesStreak",2009
13,13,"Joe Durant",20,5,"ConsecutiveBirdiesStreak",2009
13,13,"David Duval",22,5,"ConsecutiveBirdiesStreak",2009
13,13,"Robert Garrigus",25,5,"ConsecutiveBirdiesStreak",2009
13,13,"Brian Gay",27,5,"ConsecutiveBirdiesStreak",2009
13,13,"JB Holmes",25,5,"ConsecutiveBirdiesStreak",2009
13,13,"Charles Howell III",29,5,"ConsecutiveBirdiesStreak",2009
13,13,"Zach Johnson",26,5,"ConsecutiveBirdiesStreak",2009
13,13,"Dustin Johnson",25,5,"ConsecutiveBirdiesStreak",2009
13,13,"Martin Kaymer",11,5,"ConsecutiveBirdiesStreak",2009
13,13,"Jeff Klauk",29,5,"ConsecutiveBirdiesStreak",2009
13,13,"Greg Kraft",21,5,"ConsecutiveBirdiesStreak",2009
13,13,"Cliff Kresge",28,5,"ConsecutiveBirdiesStreak",2009
13,13,"Matt Kuchar",24,5,"ConsecutiveBirdiesStreak",2009
13,13,"Martin Laird",24,5,"ConsecutiveBirdiesStreak",2009
13,13,"Justin Leonard",26,5,"ConsecutiveBirdiesStreak",2009
13,13,"Michael Letzig",28,5,"ConsecutiveBirdiesStreak",2009
13,13,"Spencer Levin",25,5,"ConsecutiveBirdiesStreak",2009
13,13,"Peter Lonard",30,5,"ConsecutiveBirdiesStreak",2009
13,13,"Steve Lowery",27,5,"ConsecutiveBirdiesStreak",2009
13,13,"Sandy Lyle",2,5,"ConsecutiveBirdiesStreak",2009
13,13,"Hunter Mahan",25,5,"ConsecutiveBirdiesStreak",2009
13,13,"Bryce Molder",21,5,"ConsecutiveBirdiesStreak",2009
13,13,"Ryan Moore",27,5,"ConsecutiveBirdiesStreak",2009
13,13,"Kevin Na",26,5,"ConsecutiveBirdiesStreak",2009
13,13,"James Nitties",27,5,"ConsecutiveBirdiesStreak",2009
13,13,"Joe Ogilvie",29,5,"ConsecutiveBirdiesStreak",2009
13,13,"Geoff Ogilvy",20,5,"ConsecutiveBirdiesStreak",2009
13,13,"Ryan Palmer",26,5,"ConsecutiveBirdiesStreak",2009
