"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2010","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2010","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2010","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2010","AveragePuttingDistanceGIR3PlusPutts_AVG_2010","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2010","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2010","stat_name","year"
1,1,"Hunter Mahan",85,NA,91.583,1,"AveragePuttingDistanceGIR3PlusPutts",2010
2,2,"Zach Johnson",93,NA,84.75,1,"AveragePuttingDistanceGIR3PlusPutts",2010
3,3,"Freddie Jacobson",83,NA,71.917,1,"AveragePuttingDistanceGIR3PlusPutts",2010
4,4,"Bill Lunde",79,NA,143.5,2,"AveragePuttingDistanceGIR3PlusPutts",2010
5,5,"Aaron Baddeley",94,NA,66.833,1,"AveragePuttingDistanceGIR3PlusPutts",2010
6,6,"JB Holmes",100,NA,133.083,2,"AveragePuttingDistanceGIR3PlusPutts",2010
7,7,"Nicholas Thompson",88,NA,62.917,1,"AveragePuttingDistanceGIR3PlusPutts",2010
8,8,"Woody Austin",93,NA,62.583,1,"AveragePuttingDistanceGIR3PlusPutts",2010
9,9,"Chris Tidland",77,NA,61.917,1,"AveragePuttingDistanceGIR3PlusPutts",2010
10,10,"Rickie Fowler",98,NA,122.75,2,"AveragePuttingDistanceGIR3PlusPutts",2010
11,11,"Michael Connell",89,NA,60.667,1,"AveragePuttingDistanceGIR3PlusPutts",2010
12,12,"Matt Every",60,NA,118.417,2,"AveragePuttingDistanceGIR3PlusPutts",2010
13,13,"Garrett Willis",82,NA,59.167,1,"AveragePuttingDistanceGIR3PlusPutts",2010
14,14,"Charlie Wi",95,NA,58.167,1,"AveragePuttingDistanceGIR3PlusPutts",2010
15,15,"Mathias Gronberg",61,NA,56.75,1,"AveragePuttingDistanceGIR3PlusPutts",2010
16,16,"Stewart Cink",84,NA,56.167,1,"AveragePuttingDistanceGIR3PlusPutts",2010
16,16,"Jay Williamson",76,NA,56.167,1,"AveragePuttingDistanceGIR3PlusPutts",2010
18,18,"Tim Herron",79,NA,110.417,2,"AveragePuttingDistanceGIR3PlusPutts",2010
19,19,"YE Yang",72,NA,55.083,1,"AveragePuttingDistanceGIR3PlusPutts",2010
20,20,"James Driscoll",78,NA,109.083,2,"AveragePuttingDistanceGIR3PlusPutts",2010
21,21,"Stuart Appleby",101,NA,54,1,"AveragePuttingDistanceGIR3PlusPutts",2010
22,22,"Ryan Moore",80,NA,53.083,1,"AveragePuttingDistanceGIR3PlusPutts",2010
