"GIRPercentage200yards_RANKTHISWEEK_2013","GIRPercentage200yards_RANKLASTWEEK_2013","GIRPercentage200yards_PLAYERNAME_2013","GIRPercentage200yards_ROUNDS_2013","GIRPercentage200yards_Pct_2013","GIRPercentage200yards_GREENSHIT_2013","GIRPercentage200yards_TOTALHOLES_2013","GIRPercentage200yards_RELATIVETOPAR_2013","stat_name","year"
93,93,"Ian Poulter",59,44.55,45,101,0.04,"GIRPercentage200yards",2013
94,94,"Jim Furyk",80,44.5,85,191,-0.2,"GIRPercentage200yards",2013
95,95,"DA Points",87,44.34,94,212,-0.01,"GIRPercentage200yards",2013
96,96,"Scott Piercy",78,44.26,54,122,0,"GIRPercentage200yards",2013
97,97,"Rod Pampling",46,44.21,42,95,-0.12,"GIRPercentage200yards",2013
98,98,"Vaughn Taylor",50,44.05,37,84,-0.03,"GIRPercentage200yards",2013
99,99,"Morgan Hoffmann",64,44.04,48,109,-0.02,"GIRPercentage200yards",2013
100,100,"Martin Laird",68,43.94,58,132,-0.03,"GIRPercentage200yards",2013
101,101,"Fabian Gomez",65,43.88,61,139,0.07,"GIRPercentage200yards",2013
101,101,"Rory Sabbatini",86,43.88,61,139,0,"GIRPercentage200yards",2013
103,103,"Ben Crane",62,43.84,64,146,0,"GIRPercentage200yards",2013
103,103,"Johnson Wagner",64,43.84,64,146,-0.02,"GIRPercentage200yards",2013
105,105,"Stewart Cink",71,43.8,60,137,-0.1,"GIRPercentage200yards",2013
105,105,"Mark Wilson",56,43.8,53,121,-0.04,"GIRPercentage200yards",2013
107,107,"Jeff Overton",78,43.75,70,160,-0.06,"GIRPercentage200yards",2013
108,108,"Jason Dufner",78,43.62,65,149,-0.08,"GIRPercentage200yards",2013
108,108,"Martin Kaymer",61,43.62,41,94,0.02,"GIRPercentage200yards",2013
110,110,"Henrik Norlander",70,43.61,58,133,-0.17,"GIRPercentage200yards",2013
111,111,"Rory McIlroy",56,43.53,37,85,-0.05,"GIRPercentage200yards",2013
112,112,"David Lingmerth",68,43.31,55,127,-0.07,"GIRPercentage200yards",2013
113,113,"Russell Henley",80,43.17,60,139,-0.03,"GIRPercentage200yards",2013
114,114,"YE Yang",56,43.01,40,93,-0.1,"GIRPercentage200yards",2013
115,115,"Luke List",65,43,43,100,-0.16,"GIRPercentage200yards",2013
115,115,"Shawn Stefani",63,43,43,100,-0.12,"GIRPercentage200yards",2013
117,117,"Ryan Moore",72,42.86,60,140,-0.02,"GIRPercentage200yards",2013
118,118,"David Toms",49,42.7,38,89,-0.11,"GIRPercentage200yards",2013
119,119,"Graeme McDowell",53,42.45,45,106,-0.09,"GIRPercentage200yards",2013
120,120,"Kevin Chappell",80,42.36,61,144,0,"GIRPercentage200yards",2013
121,121,"Jason Bohn",70,42.05,74,176,-0.2,"GIRPercentage200yards",2013
122,122,"Jonas Blixt",76,42.01,71,169,-0.14,"GIRPercentage200yards",2013
123,123,"Troy Matteson",68,41.94,52,124,-0.04,"GIRPercentage200yards",2013
124,124,"George McNeill",68,41.67,70,168,-0.06,"GIRPercentage200yards",2013
125,125,"Scott Brown",65,41.61,57,137,-0.18,"GIRPercentage200yards",2013
125,125,"Carl Pettersson",82,41.61,57,137,-0.16,"GIRPercentage200yards",2013
127,127,"David Hearn",88,41.45,80,193,-0.11,"GIRPercentage200yards",2013
128,128,"Steven Bowditch",67,41.38,48,116,-0.08,"GIRPercentage200yards",2013
128,128,"Erik Compton",74,41.38,72,174,-0.14,"GIRPercentage200yards",2013
130,130,"Seung Yul Noh",71,41.27,52,126,-0.17,"GIRPercentage200yards",2013
131,131,"Ben Curtis",59,41.22,54,131,-0.13,"GIRPercentage200yards",2013
132,132,"Sean OHair",56,40.83,49,120,-0.02,"GIRPercentage200yards",2013
133,133,"Stuart Appleby",88,40.74,77,189,-0.06,"GIRPercentage200yards",2013
134,134,"Chris Stroud",88,40.72,90,221,-0.1,"GIRPercentage200yards",2013
135,135,"Jeff Maggert",63,40.67,61,150,-0.11,"GIRPercentage200yards",2013
136,136,"Ken Duke",87,40.64,89,219,-0.03,"GIRPercentage200yards",2013
137,137,"William McGirt",75,40.61,67,165,-0.04,"GIRPercentage200yards",2013
138,138,"Phil Mickelson",78,40.38,63,156,-0.21,"GIRPercentage200yards",2013
139,139,"Alistair Presnell",59,40.37,44,109,-0.07,"GIRPercentage200yards",2013
140,140,"Luke Donald",60,40.3,54,134,-0.15,"GIRPercentage200yards",2013
140,140,"Eric Meierdierks",48,40.3,27,67,-0.04,"GIRPercentage200yards",2013
142,142,"Stephen Ames",49,40.17,47,117,-0.19,"GIRPercentage200yards",2013
143,143,"Camilo Villegas",79,40.13,61,152,-0.05,"GIRPercentage200yards",2013
144,144,"Justin Bolli",59,40,46,115,-0.07,"GIRPercentage200yards",2013
144,144,"Jimmy Walker",84,40,72,180,-0.01,"GIRPercentage200yards",2013
146,146,"Patrick Reed",83,39.51,64,162,-0.11,"GIRPercentage200yards",2013
147,147,"Ted Potter Jr",65,39.34,48,122,-0.1,"GIRPercentage200yards",2013
148,148,"Justin Leonard",86,39.13,81,207,-0.14,"GIRPercentage200yards",2013
149,149,"David Mathis",71,38.99,62,159,-0.05,"GIRPercentage200yards",2013
150,150,"Nicolas Colsaerts",50,38.81,26,67,-0.04,"GIRPercentage200yards",2013
151,151,"Tom Gillis",69,38.76,50,129,-0.06,"GIRPercentage200yards",2013
152,152,"Bryce Molder",82,38.64,85,220,-0.06,"GIRPercentage200yards",2013
153,153,"Chris Kirk",89,38.54,74,192,-0.03,"GIRPercentage200yards",2013
154,154,"Bob Estes",66,38.46,65,169,-0.05,"GIRPercentage200yards",2013
155,155,"James Hahn",78,38.19,55,144,-0.13,"GIRPercentage200yards",2013
156,156,"Scott Langley",79,38.12,69,181,-0.14,"GIRPercentage200yards",2013
157,157,"Brian Harman",89,38.04,62,163,-0.1,"GIRPercentage200yards",2013
158,158,"Bobby Gates",49,37.93,33,87,-0.09,"GIRPercentage200yards",2013
159,159,"Colt Knost",69,37.78,68,180,-0.09,"GIRPercentage200yards",2013
160,160,"Tim Herron",45,37.74,40,106,-0.05,"GIRPercentage200yards",2013
161,161,"Freddie Jacobson",63,37.5,39,104,-0.05,"GIRPercentage200yards",2013
162,162,"Charlie Wi",75,37.2,61,164,-0.08,"GIRPercentage200yards",2013
163,163,"Tommy Gainey",84,36.84,63,171,-0.1,"GIRPercentage200yards",2013
164,164,"James Driscoll",76,35.76,54,151,-0.02,"GIRPercentage200yards",2013
165,165,"Padraig Harrington",52,35.62,26,73,-0.04,"GIRPercentage200yards",2013
166,166,"Greg Chalmers",77,35.05,68,194,-0.16,"GIRPercentage200yards",2013
167,167,"Tim Clark",64,34.78,40,115,0,"GIRPercentage200yards",2013
167,167,"David Lynn",70,34.78,64,184,-0.13,"GIRPercentage200yards",2013
169,169,"Robert Allenby",58,34.48,50,145,-0.08,"GIRPercentage200yards",2013
170,170,"Lee Williams",62,34.25,50,146,-0.04,"GIRPercentage200yards",2013
171,171,"Geoff Ogilvy",57,34.23,38,111,-0.11,"GIRPercentage200yards",2013
172,172,"Aaron Watkins",46,33.98,35,103,0.03,"GIRPercentage200yards",2013
173,173,"Cameron Percy",68,33.96,36,106,-0.08,"GIRPercentage200yards",2013
174,174,"Scott Gardiner",61,33.63,38,113,-0.05,"GIRPercentage200yards",2013
175,175,"Aaron Baddeley",68,33.08,44,133,-0.09,"GIRPercentage200yards",2013
176,176,"Brian Gay",79,32.88,72,219,-0.13,"GIRPercentage200yards",2013
177,177,"Casey Wittenberg",72,30.95,52,168,-0.02,"GIRPercentage200yards",2013
178,178,"Peter Hanson",45,30.67,23,75,-0.26,"GIRPercentage200yards",2013
179,179,"Mike Weir",60,30.32,47,155,-0.04,"GIRPercentage200yards",2013
180,180,"Andres Romero",63,29.46,38,129,-0.16,"GIRPercentage200yards",2013
