"GreensinRegulationPercentage_RANKTHISWEEK_2010","GreensinRegulationPercentage_RANKLASTWEEK_2010","GreensinRegulationPercentage_PLAYERNAME_2010","GreensinRegulationPercentage_ROUNDS_2010","GreensinRegulationPercentage_Pct_2010","GreensinRegulationPercentage_GREENSHIT_2010","GreensinRegulationPercentage_HOLES_2010","GreensinRegulationPercentage_RELATIVEPAR_2010","stat_name","year"
1,1,"John Senden",103,72.49,1344,1854,-0.23,"GreensinRegulationPercentage",2010
2,2,"Kevin Sutherland",86,71.96,1114,1548,-0.24,"GreensinRegulationPercentage",2010
3,3,"Joe Durant",67,71.95,790,1098,-0.25,"GreensinRegulationPercentage",2010
4,4,"Charles Warren",64,71.74,749,1044,-0.25,"GreensinRegulationPercentage",2010
5,5,"Troy Matteson",84,71.43,1080,1512,-0.22,"GreensinRegulationPercentage",2010
6,6,"Graham DeLaet",88,71.27,1052,1476,-0.25,"GreensinRegulationPercentage",2010
7,7,"DJ Trahan",92,71.26,1180,1656,-0.26,"GreensinRegulationPercentage",2010
8,8,"Kris Blanks",91,71.15,1063,1494,-0.2,"GreensinRegulationPercentage",2010
9,9,"Paul Stankowski",62,70.88,689,972,-0.28,"GreensinRegulationPercentage",2010
10,10,"Aron Price",70,70.49,812,1152,-0.25,"GreensinRegulationPercentage",2010
11,11,"Cameron Percy",73,70.42,862,1224,-0.23,"GreensinRegulationPercentage",2010
12,12,"Mark Wilson",87,70.28,1050,1494,-0.22,"GreensinRegulationPercentage",2010
13,13,"Davis Love III",79,70.25,999,1422,-0.24,"GreensinRegulationPercentage",2010
14,14,"John Merrick",109,70.24,1277,1818,-0.24,"GreensinRegulationPercentage",2010
15,15,"Cameron Tringale",55,70.18,619,882,-0.21,"GreensinRegulationPercentage",2010
16,16,"Brett Quigley",96,70.12,1199,1710,-0.24,"GreensinRegulationPercentage",2010
17,17,"Brendon de Jonge",114,70.07,1337,1908,-0.28,"GreensinRegulationPercentage",2010
17,17,"Garth Mulroy",53,70.07,618,882,-0.22,"GreensinRegulationPercentage",2010
17,17,"Boo Weekley",88,70.07,1009,1440,-0.22,"GreensinRegulationPercentage",2010
20,20,"Jonathan Byrd",85,70,1071,1530,-0.25,"GreensinRegulationPercentage",2010
21,21,"Bill Haas",87,69.92,1095,1566,-0.26,"GreensinRegulationPercentage",2010
22,22,"Rickie Fowler",98,69.9,1233,1764,-0.26,"GreensinRegulationPercentage",2010
23,23,"Spencer Levin",110,69.88,1283,1836,-0.26,"GreensinRegulationPercentage",2010
24,24,"Garrett Willis",82,69.87,981,1404,-0.25,"GreensinRegulationPercentage",2010
25,25,"Tom Pernice Jr",74,69.78,829,1188,-0.23,"GreensinRegulationPercentage",2010
26,26,"Mathew Goggin",85,69.74,1067,1530,-0.22,"GreensinRegulationPercentage",2010
27,27,"Roger Tambellini",77,69.73,866,1242,-0.19,"GreensinRegulationPercentage",2010
28,28,"Jeff Gove",57,69.72,640,918,-0.18,"GreensinRegulationPercentage",2010
29,29,"Billy Mayfair",78,69.68,878,1260,-0.2,"GreensinRegulationPercentage",2010
30,30,"Nick Watney",91,69.63,1103,1584,-0.29,"GreensinRegulationPercentage",2010
31,31,"Adam Scott",70,69.61,852,1224,-0.26,"GreensinRegulationPercentage",2010
32,32,"Heath Slocum",97,69.59,1165,1674,-0.22,"GreensinRegulationPercentage",2010
33,33,"Briny Baird",87,69.41,1037,1494,-0.22,"GreensinRegulationPercentage",2010
34,34,"Matt Kuchar",97,69.36,1186,1710,-0.3,"GreensinRegulationPercentage",2010
35,35,"Rocco Mediate",71,69.32,861,1242,-0.2,"GreensinRegulationPercentage",2010
36,36,"Chris Stroud",90,69.31,1023,1476,-0.23,"GreensinRegulationPercentage",2010
37,37,"Bo Van Pelt",104,69.23,1296,1872,-0.27,"GreensinRegulationPercentage",2010
38,38,"Henrik Bjornstad",72,69.11,821,1188,-0.24,"GreensinRegulationPercentage",2010
39,39,"Kenny Perry",69,69.04,845,1224,-0.21,"GreensinRegulationPercentage",2010
40,40,"Greg Owen",69,69,857,1242,-0.23,"GreensinRegulationPercentage",2010
41,41,"Dean Wilson",54,68.98,596,864,-0.26,"GreensinRegulationPercentage",2010
42,42,"Pat Perez",90,68.95,1117,1620,-0.27,"GreensinRegulationPercentage",2010
42,42,"Jay Williamson",76,68.95,844,1224,-0.22,"GreensinRegulationPercentage",2010
44,44,"Chad Campbell",95,68.91,1166,1692,-0.23,"GreensinRegulationPercentage",2010
45,45,"Josh Teater",101,68.8,1226,1782,-0.24,"GreensinRegulationPercentage",2010
46,46,"JJ Henry",92,68.72,1039,1512,-0.24,"GreensinRegulationPercentage",2010
47,47,"Steve Elkington",74,68.71,841,1224,-0.25,"GreensinRegulationPercentage",2010
48,48,"Paul Casey",64,68.68,717,1044,-0.3,"GreensinRegulationPercentage",2010
