"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2016","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2016","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2016","AveragePuttingDistanceAll3Plusputts_ROUNDS_2016","AveragePuttingDistanceAll3Plusputts_AVG_2016","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2016","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2016","stat_name","year"
1,1,"Tyler Aldridge",53,NA,91.583,1,"AveragePuttingDistanceAll3Plusputts",2016
2,2,"Russell Henley",42,NA,87.583,1,"AveragePuttingDistanceAll3Plusputts",2016
3,3,"Cameron Smith",45,NA,143.25,2,"AveragePuttingDistanceAll3Plusputts",2016
4,4,"DA Points",32,NA,69.167,1,"AveragePuttingDistanceAll3Plusputts",2016
5,5,"Charl Schwartzel",29,NA,67.75,1,"AveragePuttingDistanceAll3Plusputts",2016
6,NA,"Scott Langley",41,NA,65.917,1,"AveragePuttingDistanceAll3Plusputts",2016
7,6,"Jason Dufner",53,NA,64.917,1,"AveragePuttingDistanceAll3Plusputts",2016
8,7,"Colt Knost",56,NA,63.417,1,"AveragePuttingDistanceAll3Plusputts",2016
9,8,"Matthew Fitzpatrick",23,NA,119.333,2,"AveragePuttingDistanceAll3Plusputts",2016
10,9,"Sergio Garcia",28,NA,110.75,2,"AveragePuttingDistanceAll3Plusputts",2016
11,10,"Patrick Reed",53,NA,53.833,1,"AveragePuttingDistanceAll3Plusputts",2016
12,11,"Steve Marino",40,NA,52.917,1,"AveragePuttingDistanceAll3Plusputts",2016
13,12,"John Huh",51,NA,52.833,1,"AveragePuttingDistanceAll3Plusputts",2016
14,14,"Lucas Glover",53,NA,51.167,1,"AveragePuttingDistanceAll3Plusputts",2016
15,NA,"Graham DeLaet",50,NA,50.083,1,"AveragePuttingDistanceAll3Plusputts",2016
16,15,"Hudson Swafford",52,NA,99.25,2,"AveragePuttingDistanceAll3Plusputts",2016
17,NA,"Tony Finau",49,NA,47.333,1,"AveragePuttingDistanceAll3Plusputts",2016
18,NA,"Harold Varner III",58,NA,46.667,1,"AveragePuttingDistanceAll3Plusputts",2016
19,NA,"Derek Fathauer",58,NA,45.333,1,"AveragePuttingDistanceAll3Plusputts",2016
20,16,"Charlie Beljan",26,NA,89.583,2,"AveragePuttingDistanceAll3Plusputts",2016
21,17,"Fabian Gomez",49,NA,40.083,1,"AveragePuttingDistanceAll3Plusputts",2016
22,18,"Brendon de Jonge",55,NA,37.25,1,"AveragePuttingDistanceAll3Plusputts",2016
23,19,"Andres Gonzales",46,NA,36.083,1,"AveragePuttingDistanceAll3Plusputts",2016
24,20,"Shane Bertsch",30,NA,35.667,1,"AveragePuttingDistanceAll3Plusputts",2016
25,13,"Scott Brown",59,NA,61.75,2,"AveragePuttingDistanceAll3Plusputts",2016
26,21,"Matt Every",34,NA,29.583,1,"AveragePuttingDistanceAll3Plusputts",2016
26,21,"Rory Sabbatini",40,NA,118.167,4,"AveragePuttingDistanceAll3Plusputts",2016
28,NA,"Hiroshi Iwata",51,NA,29.167,1,"AveragePuttingDistanceAll3Plusputts",2016
29,23,"Will Ma Kenzie",54,NA,28.917,1,"AveragePuttingDistanceAll3Plusputts",2016
30,24,"Chesson Hadley",51,NA,28.667,1,"AveragePuttingDistanceAll3Plusputts",2016
31,25,"Shawn Stefani",45,NA,28.583,1,"AveragePuttingDistanceAll3Plusputts",2016
32,26,"Stuart Appleby",39,NA,47.5,2,"AveragePuttingDistanceAll3Plusputts",2016
33,27,"Greg Owen",56,NA,21.5,1,"AveragePuttingDistanceAll3Plusputts",2016
34,28,"Vijay Singh",42,NA,19.583,1,"AveragePuttingDistanceAll3Plusputts",2016
35,29,"Emiliano Grillo",47,NA,19.5,1,"AveragePuttingDistanceAll3Plusputts",2016
36,31,"Morgan Hoffmann",43,NA,34,2,"AveragePuttingDistanceAll3Plusputts",2016
37,32,"Whee Kim",54,NA,15.417,1,"AveragePuttingDistanceAll3Plusputts",2016
38,33,"Ben Martin",48,NA,11.917,1,"AveragePuttingDistanceAll3Plusputts",2016
39,34,"Chris Stroud",52,NA,11,1,"AveragePuttingDistanceAll3Plusputts",2016
40,35,"Dicky Pride",33,NA,5,1,"AveragePuttingDistanceAll3Plusputts",2016
