"TenthTeeLateLowestRound_RANKTHISWEEK_2009","TenthTeeLateLowestRound_RANKLASTWEEK_2009","TenthTeeLateLowestRound_PLAYERNAME_2009","TenthTeeLateLowestRound_ROUNDS_2009","TenthTeeLateLowestRound_LOWRND_2009","stat_name","year"
1,1,"Troy Matteson",95,61,"TenthTeeLateLowestRound",2009
1,1,"Pat Perez",74,61,"TenthTeeLateLowestRound",2009
3,3,"Chad Campbell",90,62,"TenthTeeLateLowestRound",2009
3,3,"Martin Laird",72,62,"TenthTeeLateLowestRound",2009
3,3,"Spencer Levin",75,62,"TenthTeeLateLowestRound",2009
3,3,"Kevin Na",91,62,"TenthTeeLateLowestRound",2009
3,3,"Brett Quigley",92,62,"TenthTeeLateLowestRound",2009
3,3,"Bubba Watson",73,62,"TenthTeeLateLowestRound",2009
9,9,"Stephen Ames",77,63,"TenthTeeLateLowestRound",2009
9,9,"Jason Dufner",90,63,"TenthTeeLateLowestRound",2009
9,9,"Charles Howell III",99,63,"TenthTeeLateLowestRound",2009
9,9,"Colt Knost",71,63,"TenthTeeLateLowestRound",2009
9,9,"Justin Leonard",95,63,"TenthTeeLateLowestRound",2009
9,9,"Ryan Moore",89,63,"TenthTeeLateLowestRound",2009
9,9,"Steve Stricker",81,63,"TenthTeeLateLowestRound",2009
9,9,"Chris Stroud",88,63,"TenthTeeLateLowestRound",2009
9,9,"Bo Van Pelt",100,63,"TenthTeeLateLowestRound",2009
18,18,"Robert Allenby",71,64,"TenthTeeLateLowestRound",2009
18,18,"Rich Beem",77,64,"TenthTeeLateLowestRound",2009
18,18,"David Berganio Jr",43,64,"TenthTeeLateLowestRound",2009
18,18,"Fred Couples",54,64,"TenthTeeLateLowestRound",2009
18,18,"Glen Day",79,64,"TenthTeeLateLowestRound",2009
18,18,"Ken Duke",87,64,"TenthTeeLateLowestRound",2009
18,18,"Derek Fathauer",63,64,"TenthTeeLateLowestRound",2009
18,18,"Robert Garrigus",83,64,"TenthTeeLateLowestRound",2009
18,18,"Brian Gay",96,64,"TenthTeeLateLowestRound",2009
18,18,"Lucas Glover",93,64,"TenthTeeLateLowestRound",2009
18,18,"Scott Gutschewski",47,64,"TenthTeeLateLowestRound",2009
18,18,"Padraig Harrington",66,64,"TenthTeeLateLowestRound",2009
18,18,"Bob Heintz",59,64,"TenthTeeLateLowestRound",2009
18,18,"JJ Henry",97,64,"TenthTeeLateLowestRound",2009
18,18,"JB Holmes",74,64,"TenthTeeLateLowestRound",2009
18,18,"Freddie Jacobson",83,64,"TenthTeeLateLowestRound",2009
18,18,"Richard Johnson",85,64,"TenthTeeLateLowestRound",2009
18,18,"Matt Jones",56,64,"TenthTeeLateLowestRound",2009
18,18,"Matt Kuchar",82,64,"TenthTeeLateLowestRound",2009
18,18,"Sean OHair",80,64,"TenthTeeLateLowestRound",2009
18,18,"Ted Purdy",101,64,"TenthTeeLateLowestRound",2009
18,18,"John Rollins",92,64,"TenthTeeLateLowestRound",2009
18,18,"John Senden",100,64,"TenthTeeLateLowestRound",2009
18,18,"Nicholas Thompson",96,64,"TenthTeeLateLowestRound",2009
18,18,"DJ Trahan",96,64,"TenthTeeLateLowestRound",2009
18,18,"Boo Weekley",79,64,"TenthTeeLateLowestRound",2009
18,18,"Mike Weir",85,64,"TenthTeeLateLowestRound",2009
18,18,"Charlie Wi",92,64,"TenthTeeLateLowestRound",2009
46,46,"Ricky Barnes",67,65,"TenthTeeLateLowestRound",2009
46,46,"Matt Bettencourt",98,65,"TenthTeeLateLowestRound",2009
46,46,"Kris Blanks",60,65,"TenthTeeLateLowestRound",2009
46,46,"Jason Bohn",88,65,"TenthTeeLateLowestRound",2009
