"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2006","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2006","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2006","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2006","AveragePuttingDistanceGIR3PlusPutts_AVG_2006","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2006","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2006","stat_name","year"
1,1,"Ben Crane",85,NA,109.25,1,"AveragePuttingDistanceGIR3PlusPutts",2006
2,2,"Carl Pettersson",95,NA,103.167,1,"AveragePuttingDistanceGIR3PlusPutts",2006
3,3,"Lucas Glover",105,NA,101.25,1,"AveragePuttingDistanceGIR3PlusPutts",2006
4,4,"Ted Purdy",103,NA,98.333,1,"AveragePuttingDistanceGIR3PlusPutts",2006
5,5,"Bubba Watson",83,NA,90.583,1,"AveragePuttingDistanceGIR3PlusPutts",2006
6,6,"Mark Brooks",90,NA,77,1,"AveragePuttingDistanceGIR3PlusPutts",2006
7,7,"Tag Ridings",103,NA,75.167,1,"AveragePuttingDistanceGIR3PlusPutts",2006
8,8,"Rod Pampling",89,NA,73.083,1,"AveragePuttingDistanceGIR3PlusPutts",2006
9,9,"Eric Axley",91,NA,71.417,1,"AveragePuttingDistanceGIR3PlusPutts",2006
10,10,"Alex Aragon",63,NA,69.5,1,"AveragePuttingDistanceGIR3PlusPutts",2006
11,11,"Bo Van Pelt",102,NA,68.5,1,"AveragePuttingDistanceGIR3PlusPutts",2006
12,12,"Henrik Bjornstad",97,NA,136.167,2,"AveragePuttingDistanceGIR3PlusPutts",2006
13,13,"Greg Owen",79,NA,204.083,3,"AveragePuttingDistanceGIR3PlusPutts",2006
14,14,"Rory Sabbatini",84,NA,67.833,1,"AveragePuttingDistanceGIR3PlusPutts",2006
15,15,"Jeff Maggert",81,NA,64.917,1,"AveragePuttingDistanceGIR3PlusPutts",2006
16,16,"JP Hayes",55,NA,61.667,1,"AveragePuttingDistanceGIR3PlusPutts",2006
17,17,"Joe Durant",101,NA,61.167,1,"AveragePuttingDistanceGIR3PlusPutts",2006
18,18,"Retief Goosen",68,NA,59.667,1,"AveragePuttingDistanceGIR3PlusPutts",2006
19,19,"Mike Weir",88,NA,59.333,1,"AveragePuttingDistanceGIR3PlusPutts",2006
20,20,"Brian Gay",107,NA,58.25,1,"AveragePuttingDistanceGIR3PlusPutts",2006
21,21,"Brian Davis",92,NA,56.667,1,"AveragePuttingDistanceGIR3PlusPutts",2006
22,22,"Chris Riley",86,NA,55.167,1,"AveragePuttingDistanceGIR3PlusPutts",2006
23,23,"David Branshaw",98,NA,53.833,1,"AveragePuttingDistanceGIR3PlusPutts",2006
24,24,"Steve Lowery",99,NA,105.917,2,"AveragePuttingDistanceGIR3PlusPutts",2006
25,25,"Tom Pernice Jr",108,NA,52.167,1,"AveragePuttingDistanceGIR3PlusPutts",2006
26,26,"Tim Herron",82,NA,51.417,1,"AveragePuttingDistanceGIR3PlusPutts",2006
26,26,"Brandt Jobe",91,NA,51.417,1,"AveragePuttingDistanceGIR3PlusPutts",2006
28,28,"Joey Sindelar",90,NA,51.333,1,"AveragePuttingDistanceGIR3PlusPutts",2006
29,29,"Mark Calcavecchia",94,NA,151.833,3,"AveragePuttingDistanceGIR3PlusPutts",2006
30,30,"Jason Bohn",104,NA,50.333,1,"AveragePuttingDistanceGIR3PlusPutts",2006
31,31,"Daisuke Maruyama",83,NA,49.5,1,"AveragePuttingDistanceGIR3PlusPutts",2006
32,32,"Jeff Brehaut",100,NA,98.25,2,"AveragePuttingDistanceGIR3PlusPutts",2006
33,33,"Will Ma Kenzie",91,NA,46.25,1,"AveragePuttingDistanceGIR3PlusPutts",2006
34,34,"Steve Stricker",64,NA,44.083,1,"AveragePuttingDistanceGIR3PlusPutts",2006
35,35,"Craig Barlow",77,NA,88,2,"AveragePuttingDistanceGIR3PlusPutts",2006
36,36,"Jose Maria Olazabal",62,NA,43.833,1,"AveragePuttingDistanceGIR3PlusPutts",2006
37,37,"John Huston",74,NA,86.583,2,"AveragePuttingDistanceGIR3PlusPutts",2006
38,38,"Brad Faxon",78,NA,86.417,2,"AveragePuttingDistanceGIR3PlusPutts",2006
39,39,"Billy Mayfair",94,NA,41.75,1,"AveragePuttingDistanceGIR3PlusPutts",2006
40,40,"Sean OHair",100,NA,41.5,1,"AveragePuttingDistanceGIR3PlusPutts",2006
41,41,"James Driscoll",80,NA,164.583,4,"AveragePuttingDistanceGIR3PlusPutts",2006
42,42,"Kris Cox",83,NA,82,2,"AveragePuttingDistanceGIR3PlusPutts",2006
42,42,"Jeff Sluman",101,NA,41,1,"AveragePuttingDistanceGIR3PlusPutts",2006
44,44,"Vaughn Taylor",88,NA,80.75,2,"AveragePuttingDistanceGIR3PlusPutts",2006
45,45,"Chris Couch",75,NA,39.917,1,"AveragePuttingDistanceGIR3PlusPutts",2006
46,46,"Matt Hansen",68,NA,79.167,2,"AveragePuttingDistanceGIR3PlusPutts",2006
47,47,"Robert Gamez",94,NA,37.25,1,"AveragePuttingDistanceGIR3PlusPutts",2006
48,48,"Mike Sposa",68,NA,110.5,3,"AveragePuttingDistanceGIR3PlusPutts",2006
