"GoingfortheGreen_RANKTHISWEEK_2013","GoingfortheGreen_RANKLASTWEEK_2013","GoingfortheGreen_PLAYERNAME_2013","GoingfortheGreen_ROUNDS_2013","GoingfortheGreen_Pct_2013","GoingfortheGreen_ATTEMPTS_2013","GoingfortheGreen_NONATTEMPTS_2013","GoingfortheGreen_RTPGOINGFORTHEGREEN_2013","GoingfortheGreen_RTPNOTGOINGFORTHEGRN_2013","stat_name","year"
34,34,"Cameron Percy",68,58.42,111,79,-50,3,"GoingfortheGreen",2013
35,35,"Greg Owen",73,58.22,131,94,-69,6,"GoingfortheGreen",2013
36,36,"Luke List",65,58.15,107,77,-66,3,"GoingfortheGreen",2013
37,37,"Jordan Spieth",82,58.01,134,97,-79,-3,"GoingfortheGreen",2013
38,38,"Webb Simpson",92,57.6,144,106,-83,-19,"GoingfortheGreen",2013
39,39,"Charlie Beljan",62,57.49,119,88,-61,12,"GoingfortheGreen",2013
39,39,"Derek Ernst",58,57.49,96,71,-41,1,"GoingfortheGreen",2013
41,41,"Peter Hanson",45,57.14,60,45,-39,-4,"GoingfortheGreen",2013
42,42,"Josh Teater",86,57.08,129,97,-63,-7,"GoingfortheGreen",2013
43,43,"Morgan Hoffmann",64,56.8,96,73,-49,-6,"GoingfortheGreen",2013
44,44,"Jason Day",86,56.62,124,95,-80,-9,"GoingfortheGreen",2013
45,45,"Charley Hoffman",84,56.52,156,120,-93,-6,"GoingfortheGreen",2013
45,45,"Andrew Svoboda",46,56.52,65,50,-36,-2,"GoingfortheGreen",2013
47,47,"Graham DeLaet",94,56.47,157,121,-92,-15,"GoingfortheGreen",2013
48,48,"Matt Jones",83,56.38,137,106,-78,-3,"GoingfortheGreen",2013
49,49,"DJ Trahan",48,56.35,71,55,-35,-2,"GoingfortheGreen",2013
50,50,"Sean OHair",56,56.07,97,76,-49,3,"GoingfortheGreen",2013
51,51,"Justin Rose",62,55.97,89,70,-57,-5,"GoingfortheGreen",2013
52,52,"Kevin Streelman",86,55.88,133,105,-79,-9,"GoingfortheGreen",2013
53,53,"Jimmy Walker",84,55.87,157,124,-90,-14,"GoingfortheGreen",2013
54,54,"Harris English",95,55.82,163,129,-111,7,"GoingfortheGreen",2013
55,55,"John Senden",79,55.61,124,99,-73,-2,"GoingfortheGreen",2013
56,56,"Scott Stallings",79,55.6,134,107,-72,2,"GoingfortheGreen",2013
57,57,"Seung Yul Noh",71,54.84,119,98,-58,18,"GoingfortheGreen",2013
58,58,"John Rollins",77,54.77,132,109,-68,-3,"GoingfortheGreen",2013
59,59,"Nicolas Colsaerts",50,54.76,69,57,-38,1,"GoingfortheGreen",2013
60,60,"Nick Watney",88,54.71,151,125,-78,-20,"GoingfortheGreen",2013
61,61,"Robert Streb",75,54.63,112,93,-59,1,"GoingfortheGreen",2013
62,62,"Patrick Reed",83,54.03,134,114,-83,-9,"GoingfortheGreen",2013
63,63,"Shawn Stefani",63,53.66,88,76,-49,-5,"GoingfortheGreen",2013
64,64,"Brad Fritsch",81,53.22,124,109,-68,2,"GoingfortheGreen",2013
65,65,"Henrik Norlander",70,53.2,108,95,-66,4,"GoingfortheGreen",2013
66,66,"Martin Flores",83,53.05,139,123,-83,-8,"GoingfortheGreen",2013
67,67,"Rickie Fowler",75,53,115,102,-62,-19,"GoingfortheGreen",2013
68,68,"Scott Brown",65,52.97,107,95,-60,0,"GoingfortheGreen",2013
69,69,"Brendon de Jonge",110,52.82,178,159,-106,-23,"GoingfortheGreen",2013
70,70,"Ernie Els",63,52.63,90,81,-52,-4,"GoingfortheGreen",2013
71,71,"Kevin Chappell",80,52.59,132,119,-79,0,"GoingfortheGreen",2013
72,72,"Chad Campbell",78,52.23,129,118,-73,-15,"GoingfortheGreen",2013
73,73,"Vijay Singh",61,52.17,84,77,-39,0,"GoingfortheGreen",2013
74,74,"Nicholas Thompson",99,52.15,158,145,-78,-3,"GoingfortheGreen",2013
75,75,"Ryo Ishikawa",72,52.11,99,91,-39,1,"GoingfortheGreen",2013
76,76,"Pat Perez",69,51.93,121,112,-62,0,"GoingfortheGreen",2013
77,77,"Bill Haas",85,51.78,131,122,-64,-16,"GoingfortheGreen",2013
78,78,"Billy Horschel",96,51.74,149,139,-89,-18,"GoingfortheGreen",2013
79,79,"Martin Laird",68,51.27,101,96,-58,-1,"GoingfortheGreen",2013
80,80,"Matt Kuchar",93,51.18,130,124,-83,-27,"GoingfortheGreen",2013
81,81,"Tommy Gainey",84,51.17,131,125,-60,-3,"GoingfortheGreen",2013
82,82,"Brian Harman",89,51.11,138,132,-67,1,"GoingfortheGreen",2013
83,83,"John Huh",88,51.08,142,136,-70,-2,"GoingfortheGreen",2013
84,84,"Tag Ridings",69,50.78,98,95,-62,16,"GoingfortheGreen",2013
85,85,"Erik Compton",74,50.46,109,107,-35,-7,"GoingfortheGreen",2013
86,86,"Stewart Cink",71,50,100,100,-55,-10,"GoingfortheGreen",2013
86,86,"Rod Pampling",46,50,63,63,-37,4,"GoingfortheGreen",2013
88,88,"Jonas Blixt",76,49.79,117,118,-60,-9,"GoingfortheGreen",2013
89,89,"Aaron Baddeley",68,49.55,110,112,-67,-18,"GoingfortheGreen",2013
90,90,"Chris Kirk",89,49.48,144,147,-80,-6,"GoingfortheGreen",2013
91,91,"James Hahn",78,49.38,120,123,-74,-11,"GoingfortheGreen",2013
92,92,"Russell Henley",80,49.35,114,117,-69,-4,"GoingfortheGreen",2013
93,93,"Carl Pettersson",82,48.93,114,119,-63,-2,"GoingfortheGreen",2013
94,94,"Camilo Villegas",79,48.85,106,111,-49,-21,"GoingfortheGreen",2013
95,95,"Bo Van Pelt",72,48.51,98,104,-51,1,"GoingfortheGreen",2013
96,96,"Sangmoon Bae",83,48.16,118,127,-54,1,"GoingfortheGreen",2013
97,97,"Freddie Jacobson",63,48.13,77,83,-39,-18,"GoingfortheGreen",2013
98,98,"Jason Dufner",78,47.87,101,110,-40,-20,"GoingfortheGreen",2013
99,99,"Steve Stricker",51,47.79,65,71,-47,-29,"GoingfortheGreen",2013
100,100,"Brandt Jobe",62,47.78,86,94,-51,-4,"GoingfortheGreen",2013
101,101,"Brendan Steele",86,47.67,133,146,-81,-11,"GoingfortheGreen",2013
102,102,"Fabian Gomez",65,47.59,89,98,-49,-5,"GoingfortheGreen",2013
103,103,"Robert Karlsson",56,47.58,59,65,-33,6,"GoingfortheGreen",2013
104,104,"Daniel Summerhays",83,47.55,136,150,-94,-11,"GoingfortheGreen",2013
105,105,"Vaughn Taylor",50,47.33,62,69,-40,-12,"GoingfortheGreen",2013
106,106,"Ryan Moore",72,47.06,104,117,-66,-9,"GoingfortheGreen",2013
107,107,"Ricky Barnes",74,46.88,105,119,-40,-12,"GoingfortheGreen",2013
108,108,"Troy Matteson",68,46.67,98,112,-50,-2,"GoingfortheGreen",2013
108,108,"Ian Poulter",59,46.67,70,80,-34,-11,"GoingfortheGreen",2013
110,110,"Bud Cauley",67,46.53,94,108,-54,-9,"GoingfortheGreen",2013
111,111,"DA Points",87,46.47,112,129,-62,-11,"GoingfortheGreen",2013
112,112,"Brandt Snedeker",79,45.97,97,114,-60,-23,"GoingfortheGreen",2013
113,113,"Scott Gardiner",61,45.81,82,97,-45,8,"GoingfortheGreen",2013
114,114,"Bobby Gates",49,45.6,57,68,-20,4,"GoingfortheGreen",2013
114,114,"William McGirt",75,45.6,114,136,-73,-1,"GoingfortheGreen",2013
116,116,"Chris Stroud",88,45.55,128,153,-75,-17,"GoingfortheGreen",2013
117,117,"YE Yang",56,45.52,61,73,-33,1,"GoingfortheGreen",2013
118,118,"Roberto Castro",97,45.45,135,162,-90,-32,"GoingfortheGreen",2013
118,118,"Zach Johnson",84,45.45,110,132,-60,-21,"GoingfortheGreen",2013
120,120,"Geoff Ogilvy",57,45.4,74,89,-34,18,"GoingfortheGreen",2013
121,121,"Johnson Wagner",64,45.03,86,105,-39,8,"GoingfortheGreen",2013
122,122,"George McNeill",68,44.64,100,124,-60,0,"GoingfortheGreen",2013
123,123,"Cameron Tringale",80,44.57,119,148,-66,-25,"GoingfortheGreen",2013
124,124,"Greg Chalmers",77,44.44,112,140,-65,-11,"GoingfortheGreen",2013
125,125,"DH Lee",65,44.33,90,113,-65,-1,"GoingfortheGreen",2013
126,126,"James Driscoll",76,44,99,126,-43,-3,"GoingfortheGreen",2013
127,127,"Luke Guthrie",82,43.91,101,129,-54,-24,"GoingfortheGreen",2013
128,128,"Steve LeBrun",66,43.55,81,105,-43,-10,"GoingfortheGreen",2013
129,129,"John Merrick",79,42.63,107,144,-59,-26,"GoingfortheGreen",2013
130,130,"Will Claxton",67,42.27,82,112,-48,0,"GoingfortheGreen",2013
131,131,"Tim Clark",64,42.07,61,84,-38,-15,"GoingfortheGreen",2013
132,132,"David Lingmerth",68,42,84,116,-51,-1,"GoingfortheGreen",2013
133,133,"Jeff Maggert",63,41.88,80,111,-35,-11,"GoingfortheGreen",2013
134,134,"JJ Henry",83,41.35,110,156,-61,-11,"GoingfortheGreen",2013
135,135,"Michael Thompson",66,41.3,76,108,-48,-7,"GoingfortheGreen",2013
136,136,"David Mathis",71,40.93,88,127,-39,-11,"GoingfortheGreen",2013
137,137,"Tom Gillis",69,40.72,79,115,-42,-8,"GoingfortheGreen",2013
138,138,"Alistair Presnell",59,40.49,66,97,-40,-7,"GoingfortheGreen",2013
139,139,"Luke Donald",60,39.88,67,101,-40,-19,"GoingfortheGreen",2013
140,140,"Graeme McDowell",53,39.39,52,80,-33,-4,"GoingfortheGreen",2013
141,141,"Tim Herron",45,39.33,59,91,-35,-6,"GoingfortheGreen",2013
142,142,"Jerry Kelly",75,39.04,89,139,-49,-16,"GoingfortheGreen",2013
143,143,"Ted Potter Jr",65,38.42,73,117,-36,-10,"GoingfortheGreen",2013
144,144,"Mark Wilson",56,38.29,67,108,-36,-21,"GoingfortheGreen",2013
145,145,"Justin Hicks",79,38.22,86,139,-41,-8,"GoingfortheGreen",2013
146,146,"Stuart Appleby",88,38.21,107,173,-50,-20,"GoingfortheGreen",2013
147,147,"Stephen Ames",49,38.03,54,88,-33,-11,"GoingfortheGreen",2013
148,148,"Brian Stuard",78,37.91,80,131,-44,-10,"GoingfortheGreen",2013
149,149,"Chez Reavie",72,37.56,83,138,-41,-11,"GoingfortheGreen",2013
150,150,"Trevor Immelman",73,37.21,80,135,-36,-8,"GoingfortheGreen",2013
151,151,"Casey Wittenberg",72,36.79,78,134,-40,2,"GoingfortheGreen",2013
152,152,"Doug LaBelle II",72,36.55,72,125,-43,-17,"GoingfortheGreen",2013
153,153,"Robert Allenby",58,36.46,66,115,-30,6,"GoingfortheGreen",2013
154,154,"Richard Lee",81,36.26,95,167,-43,-29,"GoingfortheGreen",2013
155,155,"Charlie Wi",75,36.24,83,146,-48,-7,"GoingfortheGreen",2013
156,156,"Ben Kohles",75,35.41,74,135,-40,-4,"GoingfortheGreen",2013
157,157,"Ben Crane",62,35.2,63,116,-37,-19,"GoingfortheGreen",2013
158,158,"Bob Estes",66,35.19,76,140,-38,-27,"GoingfortheGreen",2013
159,159,"David Hearn",88,34.47,91,173,-40,-22,"GoingfortheGreen",2013
160,160,"KJ Choi",85,34.21,78,150,-40,-38,"GoingfortheGreen",2013
161,161,"Brian Davis",91,34.01,100,194,-49,-35,"GoingfortheGreen",2013
162,162,"Michael Bradley",56,33.56,49,97,-24,-4,"GoingfortheGreen",2013
163,163,"Mike Weir",60,33.53,56,111,-31,-18,"GoingfortheGreen",2013
164,164,"Jason Bohn",70,33.33,76,152,-37,-26,"GoingfortheGreen",2013
165,165,"David Lynn",70,32.87,71,145,-39,-20,"GoingfortheGreen",2013
166,166,"Darron Stiles",51,32.61,45,93,-24,-11,"GoingfortheGreen",2013
167,167,"Jin Park",52,31.97,47,100,-36,-7,"GoingfortheGreen",2013
168,168,"Dicky Pride",71,31.66,63,136,-26,-25,"GoingfortheGreen",2013
169,169,"Ken Duke",87,31.54,82,178,-36,-19,"GoingfortheGreen",2013
170,170,"Lee Williams",62,31.43,55,120,-27,-20,"GoingfortheGreen",2013
171,171,"Justin Bolli",59,31.41,49,107,-14,-2,"GoingfortheGreen",2013
172,172,"Scott Langley",79,31.39,70,153,-44,-23,"GoingfortheGreen",2013
173,173,"Ben Curtis",59,30.18,51,118,-24,1,"GoingfortheGreen",2013
174,174,"Aaron Watkins",46,29.57,34,81,-19,-18,"GoingfortheGreen",2013
175,175,"Jim Furyk",80,29.18,68,165,-42,-36,"GoingfortheGreen",2013
176,176,"Colt Knost",69,28.5,57,143,-39,-17,"GoingfortheGreen",2013
177,177,"Justin Leonard",86,28.35,74,187,-41,-39,"GoingfortheGreen",2013
178,178,"Brian Gay",79,27.42,68,180,-31,-14,"GoingfortheGreen",2013
179,179,"Bryce Molder",82,26.19,66,186,-41,-34,"GoingfortheGreen",2013
180,180,"David Toms",49,25.44,29,85,-13,-6,"GoingfortheGreen",2013
