"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2012","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2012","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2012","PercentageofYardagecoveredbyTeeShots_ROUNDS_2012","PercentageofYardagecoveredbyTeeShots_AVGPct_2012","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2012","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2012","stat_name","year"
29,29,"Angel Cabrera",54,63.41,149278.1,235421,"PercentageofYardagecoveredbyTeeShots",2012
30,30,"Harris English",98,63.33,350222.6,553035,"PercentageofYardagecoveredbyTeeShots",2012
31,31,"Martin Flores",95,63.32,330721.2,522320,"PercentageofYardagecoveredbyTeeShots",2012
32,32,"Robert Karlsson",54,63.3,164125.1,259279,"PercentageofYardagecoveredbyTeeShots",2012
33,33,"Billy Horschel",63,63.28,190860.3,301631,"PercentageofYardagecoveredbyTeeShots",2012
34,34,"Davis Love III",64,63.24,208739.1,330083,"PercentageofYardagecoveredbyTeeShots",2012
35,35,"Garth Mulroy",59,63.22,183599.5,290431,"PercentageofYardagecoveredbyTeeShots",2012
35,35,"Boo Weekley",74,63.22,233067.2,368673,"PercentageofYardagecoveredbyTeeShots",2012
37,37,"Tommy Gainey",98,63.19,360595.7,570627,"PercentageofYardagecoveredbyTeeShots",2012
38,38,"Bobby Gates",87,63.13,304950.5,483027,"PercentageofYardagecoveredbyTeeShots",2012
39,39,"Aaron Baddeley",73,63.1,223431.1,354100,"PercentageofYardagecoveredbyTeeShots",2012
40,40,"Mark Anderson",75,63.09,244494.1,387524,"PercentageofYardagecoveredbyTeeShots",2012
41,41,"Charles Howell III",98,63.08,309404.6,490467,"PercentageofYardagecoveredbyTeeShots",2012
42,42,"Vijay Singh",99,63.05,324791.7,515160,"PercentageofYardagecoveredbyTeeShots",2012
43,43,"Matt Jones",53,63,175033.2,277822,"PercentageofYardagecoveredbyTeeShots",2012
44,44,"Erik Compton",81,62.99,256562.3,407292,"PercentageofYardagecoveredbyTeeShots",2012
45,45,"Carl Pettersson",92,62.98,321539.5,510578,"PercentageofYardagecoveredbyTeeShots",2012
46,46,"Scott Brown",65,62.97,202531.9,321652,"PercentageofYardagecoveredbyTeeShots",2012
46,46,"John Rollins",81,62.97,283760,450631,"PercentageofYardagecoveredbyTeeShots",2012
48,48,"Rory Sabbatini",84,62.91,286572.7,455539,"PercentageofYardagecoveredbyTeeShots",2012
49,49,"Charley Hoffman",88,62.9,304409.7,483981,"PercentageofYardagecoveredbyTeeShots",2012
50,50,"Bill Haas",79,62.88,247157,393040,"PercentageofYardagecoveredbyTeeShots",2012
51,51,"Chris Couch",61,62.87,214865.3,341751,"PercentageofYardagecoveredbyTeeShots",2012
51,51,"Jeff Overton",101,62.87,367428.4,584426,"PercentageofYardagecoveredbyTeeShots",2012
53,53,"Bo Van Pelt",84,62.79,260108.6,414270,"PercentageofYardagecoveredbyTeeShots",2012
54,54,"Kevin Kisner",69,62.73,209851,334529,"PercentageofYardagecoveredbyTeeShots",2012
55,55,"Roland Thatcher",55,62.72,174308.7,277929,"PercentageofYardagecoveredbyTeeShots",2012
56,56,"Bill Lunde",83,62.71,265995.4,424141,"PercentageofYardagecoveredbyTeeShots",2012
57,57,"DJ Trahan",73,62.63,245303.9,391696,"PercentageofYardagecoveredbyTeeShots",2012
58,58,"Nick Watney",97,62.62,307019.1,490325,"PercentageofYardagecoveredbyTeeShots",2012
59,59,"Kevin Chappell",91,62.6,286467.9,457631,"PercentageofYardagecoveredbyTeeShots",2012
59,59,"Jason Dufner",83,62.6,254571.4,406665,"PercentageofYardagecoveredbyTeeShots",2012
59,59,"Webb Simpson",77,62.6,264050.3,421827,"PercentageofYardagecoveredbyTeeShots",2012
59,59,"Lee Westwood",60,62.6,161967.5,258747,"PercentageofYardagecoveredbyTeeShots",2012
63,63,"Stephen Gangluff",57,62.57,170137.8,271903,"PercentageofYardagecoveredbyTeeShots",2012
64,64,"Phil Mickelson",79,62.53,241767.8,386612,"PercentageofYardagecoveredbyTeeShots",2012
64,64,"Greg Owen",90,62.53,306229.1,489721,"PercentageofYardagecoveredbyTeeShots",2012
66,66,"Will Claxton",99,62.52,340201.5,544153,"PercentageofYardagecoveredbyTeeShots",2012
67,67,"Brian Harman",101,62.51,349470,559075,"PercentageofYardagecoveredbyTeeShots",2012
68,68,"Danny Lee",74,62.49,233518.9,373710,"PercentageofYardagecoveredbyTeeShots",2012
69,69,"Bud Cauley",99,62.48,361795.5,579019,"PercentageofYardagecoveredbyTeeShots",2012
70,70,"Miguel Angel Carballo",73,62.4,224886.9,360419,"PercentageofYardagecoveredbyTeeShots",2012
70,70,"Charl Schwartzel",56,62.4,159309.3,255285,"PercentageofYardagecoveredbyTeeShots",2012
72,72,"Tiger Woods",69,62.39,193376.2,309964,"PercentageofYardagecoveredbyTeeShots",2012
73,73,"Mathew Goggin",65,62.37,217681.7,349025,"PercentageofYardagecoveredbyTeeShots",2012
73,73,"Chris Kirk",93,62.37,338523.3,542746,"PercentageofYardagecoveredbyTeeShots",2012
75,75,"Roberto Castro",92,62.36,297297.6,476762,"PercentageofYardagecoveredbyTeeShots",2012
75,75,"Rickie Fowler",84,62.36,265457.1,425703,"PercentageofYardagecoveredbyTeeShots",2012
75,75,"Ryo Ishikawa",54,62.36,146908.4,235578,"PercentageofYardagecoveredbyTeeShots",2012
75,75,"Kevin Streelman",89,62.36,304296,488003,"PercentageofYardagecoveredbyTeeShots",2012
79,79,"Camilo Villegas",79,62.28,288742.3,463614,"PercentageofYardagecoveredbyTeeShots",2012
80,80,"Freddie Jacobson",61,62.23,174436.7,280320,"PercentageofYardagecoveredbyTeeShots",2012
81,81,"Tim Herron",88,62.17,298784.9,480586,"PercentageofYardagecoveredbyTeeShots",2012
81,81,"Daniel Summerhays",81,62.17,269379.6,433284,"PercentageofYardagecoveredbyTeeShots",2012
83,83,"Kevin Stadler",85,62.16,277895.8,447076,"PercentageofYardagecoveredbyTeeShots",2012
84,84,"Jonathan Byrd",69,62.14,223731.5,360059,"PercentageofYardagecoveredbyTeeShots",2012
85,85,"JJ Killeen",101,62.12,331856.4,534240,"PercentageofYardagecoveredbyTeeShots",2012
86,86,"John Merrick",83,62.11,285076.4,458985,"PercentageofYardagecoveredbyTeeShots",2012
86,86,"Jimmy Walker",101,62.11,360993.5,581212,"PercentageofYardagecoveredbyTeeShots",2012
88,88,"Ernie Els",80,62.02,258797.6,417261,"PercentageofYardagecoveredbyTeeShots",2012
89,89,"Andres Romero",68,62,214668.4,346225,"PercentageofYardagecoveredbyTeeShots",2012
90,90,"Hunter Mahan",88,61.99,255124.4,411550,"PercentageofYardagecoveredbyTeeShots",2012
91,91,"John Senden",81,61.96,246496.2,397859,"PercentageofYardagecoveredbyTeeShots",2012
92,92,"Sergio Garcia",57,61.95,174600.9,281844,"PercentageofYardagecoveredbyTeeShots",2012
92,92,"Steve Wheatcroft",56,61.95,165422.3,267031,"PercentageofYardagecoveredbyTeeShots",2012
94,94,"Chad Campbell",84,61.9,286326.7,462531,"PercentageofYardagecoveredbyTeeShots",2012
95,95,"Derek Lamely",64,61.89,219157.6,354089,"PercentageofYardagecoveredbyTeeShots",2012
95,95,"Jeff Maggert",83,61.89,305524.8,493689,"PercentageofYardagecoveredbyTeeShots",2012
95,95,"Steve Stricker",73,61.89,216646.5,350029,"PercentageofYardagecoveredbyTeeShots",2012
98,98,"Brendan Steele",77,61.88,253767.5,410074,"PercentageofYardagecoveredbyTeeShots",2012
99,99,"Kyle Reifers",86,61.85,290148.8,469142,"PercentageofYardagecoveredbyTeeShots",2012
100,100,"Cameron Tringale",88,61.83,303354,490591,"PercentageofYardagecoveredbyTeeShots",2012
101,101,"Brandt Jobe",57,61.8,177781.8,287660,"PercentageofYardagecoveredbyTeeShots",2012
102,102,"Matt Every",80,61.79,251222.7,406561,"PercentageofYardagecoveredbyTeeShots",2012
103,103,"Tommy Biershenk",74,61.74,227632.4,368695,"PercentageofYardagecoveredbyTeeShots",2012
103,103,"Richard Lee",71,61.74,222036.1,359632,"PercentageofYardagecoveredbyTeeShots",2012
105,105,"Padraig Harrington",67,61.72,176043.3,285247,"PercentageofYardagecoveredbyTeeShots",2012
106,106,"Billy Mayfair",90,61.68,305334.4,495015,"PercentageofYardagecoveredbyTeeShots",2012
107,107,"Matt Bettencourt",80,61.67,234302.6,379939,"PercentageofYardagecoveredbyTeeShots",2012
107,107,"Henrik Stenson",51,61.67,165535.1,268417,"PercentageofYardagecoveredbyTeeShots",2012
109,109,"Sangmoon Bae",81,61.65,223915.3,363199,"PercentageofYardagecoveredbyTeeShots",2012
110,110,"Tom Gillis",75,61.6,270390.9,438953,"PercentageofYardagecoveredbyTeeShots",2012
111,111,"Blake Adams",107,61.59,344469.2,559307,"PercentageofYardagecoveredbyTeeShots",2012
111,111,"Hunter Haas",69,61.59,203544.4,330481,"PercentageofYardagecoveredbyTeeShots",2012
113,113,"Ben Crane",73,61.58,246230.7,399868,"PercentageofYardagecoveredbyTeeShots",2012
114,114,"James Driscoll",83,61.57,273654.2,444464,"PercentageofYardagecoveredbyTeeShots",2012
114,114,"Vaughn Taylor",81,61.57,250068.5,406123,"PercentageofYardagecoveredbyTeeShots",2012
116,116,"Jonas Blixt",72,61.53,251671,409045,"PercentageofYardagecoveredbyTeeShots",2012
116,116,"Kyle Thompson",51,61.53,143196.8,232733,"PercentageofYardagecoveredbyTeeShots",2012
118,118,"John Huh",99,61.5,333782.7,542729,"PercentageofYardagecoveredbyTeeShots",2012
119,119,"Rod Pampling",88,61.47,270474.1,439975,"PercentageofYardagecoveredbyTeeShots",2012
120,120,"Matt Kuchar",86,61.45,257009.6,418262,"PercentageofYardagecoveredbyTeeShots",2012
121,121,"Arjun Atwal",79,61.44,255162.3,415327,"PercentageofYardagecoveredbyTeeShots",2012
122,122,"DA Points",88,61.43,314005.1,511167,"PercentageofYardagecoveredbyTeeShots",2012
123,123,"Ricky Barnes",92,61.42,320563.6,521891,"PercentageofYardagecoveredbyTeeShots",2012
124,124,"JJ Henry",93,61.4,276003.2,449507,"PercentageofYardagecoveredbyTeeShots",2012
124,124,"Pat Perez",81,61.4,271839,442707,"PercentageofYardagecoveredbyTeeShots",2012
126,126,"Marc Leishman",84,61.38,299104,487260,"PercentageofYardagecoveredbyTeeShots",2012
127,127,"Marco Dawson",60,61.35,179534.3,292644,"PercentageofYardagecoveredbyTeeShots",2012
127,127,"Russell Knox",72,61.35,217097.2,353893,"PercentageofYardagecoveredbyTeeShots",2012
127,127,"Alexandre Rocha",62,61.35,193983.5,316179,"PercentageofYardagecoveredbyTeeShots",2012
130,130,"Brendon de Jonge",115,61.34,398852.6,650268,"PercentageofYardagecoveredbyTeeShots",2012
130,130,"Geoff Ogilvy",73,61.34,216740.4,353330,"PercentageofYardagecoveredbyTeeShots",2012
132,132,"Ian Poulter",57,61.33,149424.7,243656,"PercentageofYardagecoveredbyTeeShots",2012
133,133,"Scott Dunlap",57,61.32,177753,289889,"PercentageofYardagecoveredbyTeeShots",2012
133,133,"Chris Stroud",86,61.32,291452.6,475328,"PercentageofYardagecoveredbyTeeShots",2012
135,135,"Stuart Appleby",75,61.3,250891.6,409268,"PercentageofYardagecoveredbyTeeShots",2012
136,136,"Spencer Levin",81,61.29,257581.4,420291,"PercentageofYardagecoveredbyTeeShots",2012
137,137,"Stewart Cink",71,61.28,211665.1,345414,"PercentageofYardagecoveredbyTeeShots",2012
138,138,"Trevor Immelman",76,61.26,222824.5,363745,"PercentageofYardagecoveredbyTeeShots",2012
139,139,"Johnson Wagner",88,61.23,299303,488822,"PercentageofYardagecoveredbyTeeShots",2012
140,140,"Robert Allenby",76,61.2,257479,420710,"PercentageofYardagecoveredbyTeeShots",2012
140,140,"David Hearn",95,61.2,342876.8,560291,"PercentageofYardagecoveredbyTeeShots",2012
140,140,"Brandt Snedeker",81,61.2,253861.6,414808,"PercentageofYardagecoveredbyTeeShots",2012
143,143,"YE Yang",64,61.17,187368.1,306328,"PercentageofYardagecoveredbyTeeShots",2012
144,144,"George McNeill",85,61.14,275813.9,451122,"PercentageofYardagecoveredbyTeeShots",2012
145,145,"Justin Rose",69,61.13,209085.2,342037,"PercentageofYardagecoveredbyTeeShots",2012
146,146,"Ted Potter Jr",77,61.12,237263.2,388207,"PercentageofYardagecoveredbyTeeShots",2012
147,147,"Rocco Mediate",70,61.08,222805.7,364762,"PercentageofYardagecoveredbyTeeShots",2012
148,148,"Ryan Moore",89,61.07,316374.4,518061,"PercentageofYardagecoveredbyTeeShots",2012
149,149,"William McGirt",96,61.06,306435.3,501879,"PercentageofYardagecoveredbyTeeShots",2012
150,150,"Chez Reavie",83,61.03,254631.3,417229,"PercentageofYardagecoveredbyTeeShots",2012
151,151,"Cameron Beckman",81,61,267838.8,439057,"PercentageofYardagecoveredbyTeeShots",2012
152,152,"Heath Slocum",93,60.96,287995.2,472439,"PercentageofYardagecoveredbyTeeShots",2012
153,153,"Brendon Todd",78,60.95,242491.1,397820,"PercentageofYardagecoveredbyTeeShots",2012
154,154,"Gary Christian",91,60.91,287908.2,472705,"PercentageofYardagecoveredbyTeeShots",2012
155,155,"Nathan Green",73,60.9,219437.7,360336,"PercentageofYardagecoveredbyTeeShots",2012
156,156,"Tim Clark",60,60.87,192045.3,315498,"PercentageofYardagecoveredbyTeeShots",2012
157,157,"Patrick Sheehan",58,60.86,169188.5,278006,"PercentageofYardagecoveredbyTeeShots",2012
158,158,"Kris Blanks",65,60.85,231881.3,381066,"PercentageofYardagecoveredbyTeeShots",2012
159,159,"Ken Duke",104,60.82,344960.2,567185,"PercentageofYardagecoveredbyTeeShots",2012
160,160,"KJ Choi",71,60.78,219678.9,361405,"PercentageofYardagecoveredbyTeeShots",2012
161,161,"Michael Bradley",63,60.76,211413.2,347944,"PercentageofYardagecoveredbyTeeShots",2012
161,161,"Michael Thompson",80,60.76,249478.7,410599,"PercentageofYardagecoveredbyTeeShots",2012
163,163,"Graeme McDowell",55,60.75,148954.6,245173,"PercentageofYardagecoveredbyTeeShots",2012
164,164,"Sung Kang",75,60.69,238331.7,392684,"PercentageofYardagecoveredbyTeeShots",2012
165,165,"Jason Bohn",81,60.67,251871.2,415116,"PercentageofYardagecoveredbyTeeShots",2012
166,166,"Charlie Wi",86,60.66,281390.9,463915,"PercentageofYardagecoveredbyTeeShots",2012
167,167,"Stephen Ames",54,60.63,148968.7,245710,"PercentageofYardagecoveredbyTeeShots",2012
168,168,"Zach Johnson",95,60.59,284670.2,469807,"PercentageofYardagecoveredbyTeeShots",2012
169,169,"Kevin Na",80,60.53,251768.8,415958,"PercentageofYardagecoveredbyTeeShots",2012
170,170,"David Mathis",83,60.41,263811.7,436667,"PercentageofYardagecoveredbyTeeShots",2012
171,171,"Brian Davis",91,60.36,301744,499928,"PercentageofYardagecoveredbyTeeShots",2012
172,172,"Bob Estes",78,60.34,249221.4,413038,"PercentageofYardagecoveredbyTeeShots",2012
173,173,"Dicky Pride",62,60.32,189075.9,313474,"PercentageofYardagecoveredbyTeeShots",2012
174,174,"Jim Furyk",85,60.27,249971,414768,"PercentageofYardagecoveredbyTeeShots",2012
175,175,"Brian Gay",91,60.23,296200.7,491792,"PercentageofYardagecoveredbyTeeShots",2012
176,176,"David Toms",60,60.08,168809,280984,"PercentageofYardagecoveredbyTeeShots",2012
177,177,"Justin Leonard",79,59.93,258577.6,431450,"PercentageofYardagecoveredbyTeeShots",2012
178,178,"John Mallinger",74,59.92,238537.3,398078,"PercentageofYardagecoveredbyTeeShots",2012
179,179,"Jerry Kelly",84,59.91,274984.6,459020,"PercentageofYardagecoveredbyTeeShots",2012
180,180,"Greg Chalmers",88,59.85,286954.9,479464,"PercentageofYardagecoveredbyTeeShots",2012
181,181,"Ben Curtis",62,59.76,184685.4,309047,"PercentageofYardagecoveredbyTeeShots",2012
182,182,"Mark Wilson",84,59.72,259328.6,434225,"PercentageofYardagecoveredbyTeeShots",2012
183,183,"Billy Hurley III",70,59.62,215979,362254,"PercentageofYardagecoveredbyTeeShots",2012
184,184,"Ryuji Imada",78,59.61,261157.4,438115,"PercentageofYardagecoveredbyTeeShots",2012
185,185,"Luke Donald",63,59.52,183476.2,308263,"PercentageofYardagecoveredbyTeeShots",2012
186,186,"Bryce Molder",83,59.5,271017.4,455510,"PercentageofYardagecoveredbyTeeShots",2012
187,187,"Gavin Coles",72,59.42,213721.4,359659,"PercentageofYardagecoveredbyTeeShots",2012
188,188,"Chris DiMarco",83,59.21,270363.2,456617,"PercentageofYardagecoveredbyTeeShots",2012
189,189,"Colt Knost",79,59.18,251556.3,425071,"PercentageofYardagecoveredbyTeeShots",2012
190,190,"Tom Pernice Jr",62,59.11,194246.7,328633,"PercentageofYardagecoveredbyTeeShots",2012
191,191,"Nick OHern",78,58.44,251968.1,431133,"PercentageofYardagecoveredbyTeeShots",2012
