"ClubHeadSpeed_RANKTHISWEEK_2013","ClubHeadSpeed_RANKLASTWEEK_2013","ClubHeadSpeed_PLAYERNAME_2013","ClubHeadSpeed_ROUNDS_2013","ClubHeadSpeed_AVG_2013","ClubHeadSpeed_TOTALCLUBHEADSPEED_2013","ClubHeadSpeed_TOTALATTEMPTS_2013","ClubHeadSpeed_FASTESTSPEED_2013","ClubHeadSpeed_SLOWESTSPEED_2013","stat_name","year"
1,1,"Charlie Beljan",62,124.45,5600.42,45,130.12,118.77,"ClubHeadSpeed",2013
2,2,"Bubba Watson",76,122.97,6394.18,52,126.68,119.34,"ClubHeadSpeed",2013
3,3,"Luke List",65,122.94,6269.95,51,128.84,119.77,"ClubHeadSpeed",2013
4,4,"Gary Woodland",94,122.27,6724.96,55,126.12,118.41,"ClubHeadSpeed",2013
5,5,"Dustin Johnson",71,122,4879.97,40,125.71,118.58,"ClubHeadSpeed",2013
6,6,"Rory McIlroy",56,121.25,4243.73,35,124.72,117.55,"ClubHeadSpeed",2013
7,7,"Graham DeLaet",94,120.96,8588.23,71,125.05,117.35,"ClubHeadSpeed",2013
8,8,"Nicolas Colsaerts",50,120.95,4354.1,36,123.38,116.36,"ClubHeadSpeed",2013
9,9,"Sergio Garcia",65,120.78,4468.87,37,126.18,117.9,"ClubHeadSpeed",2013
10,10,"Henrik Stenson",65,120.48,2770.94,23,123.18,113.86,"ClubHeadSpeed",2013
11,11,"Jason Kokrak",78,120.38,7584.01,63,125.63,115.54,"ClubHeadSpeed",2013
12,12,"Jason Day",86,120.26,5772.47,48,124.1,115.24,"ClubHeadSpeed",2013
13,13,"Robert Garrigus",69,120.17,4926.85,41,123.82,116.35,"ClubHeadSpeed",2013
14,14,"Angel Cabrera",73,120.15,6608.07,55,124.53,116.45,"ClubHeadSpeed",2013
15,15,"Eric Meierdierks",48,120.08,4443.09,37,123.81,113.07,"ClubHeadSpeed",2013
16,16,"Derek Ernst",58,119.98,6478.87,54,123.49,117.17,"ClubHeadSpeed",2013
17,17,"Seung Yul Noh",71,119.75,7185.07,60,122.35,116.52,"ClubHeadSpeed",2013
18,18,"Nick Watney",88,119.66,8735.09,73,122.44,116.34,"ClubHeadSpeed",2013
19,19,"Adam Scott",61,119.63,4546.11,38,122.63,117.33,"ClubHeadSpeed",2013
20,20,"Kyle Stanley",71,119.62,6699,56,125.27,113.59,"ClubHeadSpeed",2013
21,21,"Scott Stallings",79,119.33,7398.48,62,124.96,115.58,"ClubHeadSpeed",2013
22,22,"Tag Ridings",69,119.28,5725.32,48,122.77,116.16,"ClubHeadSpeed",2013
23,23,"Bobby Gates",49,119.27,4770.99,40,122.9,104.21,"ClubHeadSpeed",2013
24,24,"Aaron Baddeley",68,118.89,5706.5,48,122.51,114.32,"ClubHeadSpeed",2013
25,25,"Keegan Bradley",88,118.61,7234.95,61,120.68,115.59,"ClubHeadSpeed",2013
26,26,"Jimmy Walker",84,118.42,8881.65,75,122.1,115.06,"ClubHeadSpeed",2013
27,27,"Martin Flores",83,118.34,9230.66,78,121.67,115.31,"ClubHeadSpeed",2013
