"BestSubParRoundsStreak_RANKTHISWEEK_2014","BestSubParRoundsStreak_RANKLASTWEEK_2014","BestSubParRoundsStreak_PLAYERNAME_2014","BestSubParRoundsStreak__2014","BestSubParRoundsStreak_CAREERBESTSTREAK_2014","BestSubParRoundsStreak_BESTYTDSTREAK_2014","BestSubParRoundsStreak_CURRENTSTREAK_2014","stat_name","year"
1,1,"Tim Petrovic",NA,26,4,NA,"BestSubParRoundsStreak",2014
2,2,"Jeff Sluman",NA,23,NA,NA,"BestSubParRoundsStreak",2014
3,3,"Tim Clark",NA,22,7,NA,"BestSubParRoundsStreak",2014
3,3,"Fred Couples",NA,22,2,NA,"BestSubParRoundsStreak",2014
3,3,"Scott McCarron",NA,22,3,NA,"BestSubParRoundsStreak",2014
6,6,"Stuart Appleby",NA,21,6,NA,"BestSubParRoundsStreak",2014
6,6,"Bob Estes",NA,21,4,NA,"BestSubParRoundsStreak",2014
6,6,"Scott Verplank",NA,21,3,NA,"BestSubParRoundsStreak",2014
9,9,"Jay Don Blake",NA,20,NA,NA,"BestSubParRoundsStreak",2014
9,9,"Harris English",NA,20,20,NA,"BestSubParRoundsStreak",2014
9,9,"Joey Sindelar",NA,20,NA,NA,"BestSubParRoundsStreak",2014
12,12,"Ben Crane",NA,19,4,NA,"BestSubParRoundsStreak",2014
12,12,"Joe Durant",NA,19,3,NA,"BestSubParRoundsStreak",2014
12,12,"Jesper Parnevik",NA,19,1,NA,"BestSubParRoundsStreak",2014
12,12,"Dan Pohl",NA,19,NA,NA,"BestSubParRoundsStreak",2014
16,16,"Glen Day",NA,18,3,NA,"BestSubParRoundsStreak",2014
16,16,"Chris DiMarco",NA,18,3,NA,"BestSubParRoundsStreak",2014
16,16,"Retief Goosen",NA,18,10,NA,"BestSubParRoundsStreak",2014
16,16,"Charles Howell III",NA,18,8,NA,"BestSubParRoundsStreak",2014
16,16,"Ryan Moore",NA,18,6,NA,"BestSubParRoundsStreak",2014
16,16,"Craig Parry",NA,18,NA,NA,"BestSubParRoundsStreak",2014
22,22,"Ronnie Black",NA,17,NA,NA,"BestSubParRoundsStreak",2014
22,22,"Jonathan Byrd",NA,17,4,NA,"BestSubParRoundsStreak",2014
22,22,"Brendon de Jonge",NA,17,6,NA,"BestSubParRoundsStreak",2014
22,22,"Luke Donald",NA,17,7,NA,"BestSubParRoundsStreak",2014
22,22,"Ed Fiori",NA,17,NA,NA,"BestSubParRoundsStreak",2014
22,22,"Donnie Hammond",NA,17,NA,NA,"BestSubParRoundsStreak",2014
22,22,"Jerry Kelly",NA,17,8,NA,"BestSubParRoundsStreak",2014
