"LeftTendency_RANKTHISWEEK_2014","LeftTendency_RANKLASTWEEK_2014","LeftTendency_PLAYERNAME_2014","LeftTendency_EVENTS_2014","LeftTendency_Pct_2014","LeftTendency_NUMBEROFTIMES_2014","LeftTendency_ATTEMPTS_2014","LeftTendency_AVGRTPSCORE_2014","stat_name","year"
1,1,"Bryce Molder",25,32,114,356,0.61,"LeftTendency",2014
2,2,"George McNeill",24,36.3,126,347,1.98,"LeftTendency",2014
3,3,"Aaron Baddeley",24,37,129,349,0.93,"LeftTendency",2014
4,4,"Jamie Lovemark",20,38.2,108,283,1.85,"LeftTendency",2014
5,5,"Scott Langley",29,38.8,163,420,2.33,"LeftTendency",2014
6,6,"Trevor Immelman",28,39.6,146,369,1.71,"LeftTendency",2014
7,7,"Greg Chalmers",27,39.9,163,409,2.21,"LeftTendency",2014
8,8,"Marc Leishman",24,40.1,150,374,0.87,"LeftTendency",2014
9,9,"Mark Wilson",25,40.2,104,259,2.31,"LeftTendency",2014
10,10,"Troy Merritt",20,40.4,113,280,1.77,"LeftTendency",2014
11,11,"David Toms",20,40.7,77,189,2.21,"LeftTendency",2014
12,12,"Charlie Wi",25,41.1,151,367,1.19,"LeftTendency",2014
13,13,"Sangmoon Bae",24,41.5,139,335,1.08,"LeftTendency",2014
14,14,"Charl Schwartzel",18,41.9,121,289,0.33,"LeftTendency",2014
15,15,"Gonzalo Fdez Castano",25,42.1,157,373,2.87,"LeftTendency",2014
16,16,"Tim Wilkinson",25,42.2,171,405,1.93,"LeftTendency",2014
17,17,"Ernie Els",24,42.3,163,385,1.72,"LeftTendency",2014
18,18,"Rory Sabbatini",26,42.5,171,402,2.81,"LeftTendency",2014
19,19,"David Hearn",28,42.7,152,356,2.63,"LeftTendency",2014
19,19,"Justin Rose",19,42.7,126,295,2.14,"LeftTendency",2014
21,21,"Ian Poulter",17,43.1,93,216,0.75,"LeftTendency",2014
22,22,"Hunter Mahan",25,43.3,142,328,1.41,"LeftTendency",2014
22,22,"Josh Teater",28,43.3,170,393,1.35,"LeftTendency",2014
24,24,"Kevin Tway",23,43.6,115,264,1.13,"LeftTendency",2014
24,24,"Nick Watney",25,43.6,119,273,2.35,"LeftTendency",2014
26,26,"Kevin Kisner",26,43.8,158,361,1.2,"LeftTendency",2014
27,27,"James Hahn",27,43.9,167,380,1.8,"LeftTendency",2014
28,28,"Mike Weir",25,44.5,153,344,2.61,"LeftTendency",2014
29,29,"Rickie Fowler",26,45.2,140,310,1.86,"LeftTendency",2014
29,29,"Brad Fritsch",18,45.2,99,219,1.92,"LeftTendency",2014
29,29,"Martin Kaymer",19,45.2,113,250,3.81,"LeftTendency",2014
32,32,"Ben Crane",25,45.3,158,349,2.09,"LeftTendency",2014
32,32,"Charley Hoffman",25,45.3,186,411,0.81,"LeftTendency",2014
32,32,"Lee Westwood",18,45.3,101,223,2.28,"LeftTendency",2014
35,35,"Matt Jones",25,45.4,152,335,0.99,"LeftTendency",2014
36,36,"Hideki Matsuyama",24,45.5,155,341,0.9,"LeftTendency",2014
37,37,"Brice Garnett",28,45.7,197,431,1.37,"LeftTendency",2014
37,37,"Russell Knox",26,45.7,169,370,1.54,"LeftTendency",2014
39,39,"Patrick Reed",28,45.8,203,443,1.18,"LeftTendency",2014
40,40,"Martin Flores",26,45.9,181,394,0.88,"LeftTendency",2014
40,40,"Troy Matteson",23,45.9,134,292,1.57,"LeftTendency",2014
42,42,"John Rollins",28,46,168,365,1.19,"LeftTendency",2014
42,42,"Gary Woodland",25,46,180,391,1.61,"LeftTendency",2014
44,44,"Derek Ernst",28,46.1,141,306,2.48,"LeftTendency",2014
45,45,"Jim Herman",21,46.3,114,246,1.14,"LeftTendency",2014
45,45,"Ted Potter Jr",24,46.3,118,255,2.03,"LeftTendency",2014
47,47,"Jonas Blixt",21,46.4,116,250,2.16,"LeftTendency",2014
47,47,"Jason Dufner",17,46.4,98,211,1.84,"LeftTendency",2014
47,47,"Kyle Stanley",28,46.4,168,362,2.92,"LeftTendency",2014
50,50,"Tim Clark",26,46.6,103,221,2.72,"LeftTendency",2014
50,50,"Chad Collins",28,46.6,157,337,2.68,"LeftTendency",2014
52,52,"Jason Day",15,47,86,183,1.86,"LeftTendency",2014
53,53,"Andrew Loupe",22,47.2,150,318,1.07,"LeftTendency",2014
54,54,"Dustin Johnson",17,47.3,112,237,1.7,"LeftTendency",2014
54,54,"Adam Scott",17,47.3,134,283,0.97,"LeftTendency",2014
54,54,"Vijay Singh",25,47.3,190,402,1.37,"LeftTendency",2014
57,57,"KJ Choi",23,47.4,147,310,2.59,"LeftTendency",2014
57,57,"Freddie Jacobson",27,47.4,208,439,1.15,"LeftTendency",2014
59,59,"Jim Furyk",21,47.5,121,255,0.66,"LeftTendency",2014
60,60,"Charlie Beljan",26,47.6,176,370,1.82,"LeftTendency",2014
61,61,"Ken Duke",25,47.8,129,270,2.64,"LeftTendency",2014
61,61,"Richard Lee",27,47.8,154,322,2.4,"LeftTendency",2014
61,61,"Jordan Spieth",27,47.8,211,441,1.85,"LeftTendency",2014
61,61,"Kevin Streelman",24,47.8,121,253,2.56,"LeftTendency",2014
65,65,"Boo Weekley",24,47.9,116,242,0.78,"LeftTendency",2014
66,66,"Ben Curtis",24,48,145,302,2.14,"LeftTendency",2014
67,67,"Jonathan Byrd",24,48.1,161,335,1.61,"LeftTendency",2014
67,67,"Tommy Gainey",26,48.1,163,339,2.52,"LeftTendency",2014
67,67,"Bill Haas",28,48.1,194,403,0.93,"LeftTendency",2014
70,70,"Pat Perez",25,48.2,190,394,2.26,"LeftTendency",2014
70,70,"Carl Pettersson",28,48.2,223,463,0.94,"LeftTendency",2014
72,72,"Kevin Chappell",28,48.4,191,395,1.83,"LeftTendency",2014
73,73,"John Huh",28,48.5,150,309,2.8,"LeftTendency",2014
73,73,"Wes Roach",22,48.5,132,272,2.5,"LeftTendency",2014
75,75,"DH Lee",20,48.6,103,212,3.4,"LeftTendency",2014
75,75,"Bubba Watson",21,48.6,140,288,0.86,"LeftTendency",2014
77,77,"John Senden",27,48.7,190,390,1.53,"LeftTendency",2014
78,78,"Retief Goosen",26,48.8,229,469,1.75,"LeftTendency",2014
79,79,"Ryo Ishikawa",24,48.9,196,401,1.73,"LeftTendency",2014
79,79,"Brendan Steele",26,48.9,192,393,1.67,"LeftTendency",2014
81,81,"Sergio Garcia",16,49,99,202,0.81,"LeftTendency",2014
81,81,"Seung Yul Noh",27,49,215,439,1.49,"LeftTendency",2014
81,81,"Geoff Ogilvy",26,49,200,408,1.45,"LeftTendency",2014
84,84,"Brendon Todd",29,49.1,218,444,1.06,"LeftTendency",2014
84,84,"Will Wilcox",16,49.1,108,220,1.2,"LeftTendency",2014
86,86,"Stuart Appleby",29,49.2,220,447,1.95,"LeftTendency",2014
86,86,"Chris Kirk",28,49.2,219,445,1.05,"LeftTendency",2014
86,86,"Jhonattan Vegas",23,49.2,161,327,1.06,"LeftTendency",2014
86,86,"Jimmy Walker",27,49.2,227,461,0.4,"LeftTendency",2014
90,90,"Morgan Hoffmann",32,49.3,269,546,2.71,"LeftTendency",2014
91,91,"Angel Cabrera",23,49.4,163,330,1.72,"LeftTendency",2014
92,92,"Hudson Swafford",26,49.5,143,289,0.42,"LeftTendency",2014
93,93,"James Driscoll",25,49.6,186,375,2.15,"LeftTendency",2014
93,93,"Brooks Koepka",16,49.6,120,242,0.5,"LeftTendency",2014
95,95,"Jerry Kelly",23,49.7,153,308,0.92,"LeftTendency",2014
95,95,"Kevin Na",27,49.7,183,368,1.09,"LeftTendency",2014
95,95,"Jeff Overton",24,49.7,186,374,1.18,"LeftTendency",2014
98,98,"Charles Howell III",29,49.8,301,604,0,"LeftTendency",2014
99,99,"Will Ma Kenzie",27,50,177,354,2.71,"LeftTendency",2014
99,99,"Chris Stroud",25,50,178,356,1.46,"LeftTendency",2014
101,101,"Scott Stallings",28,50.1,181,361,3.15,"LeftTendency",2014
102,102,"Justin Hicks",30,50.2,166,331,2.59,"LeftTendency",2014
103,103,"Justin Leonard",22,50.3,158,314,2.53,"LeftTendency",2014
103,103,"Ryan Palmer",23,50.3,183,364,0.38,"LeftTendency",2014
103,103,"Michael Putnam",30,50.3,233,463,1.89,"LeftTendency",2014
106,106,"Harris English",28,50.5,199,394,1.21,"LeftTendency",2014
106,106,"Brian Gay",26,50.5,165,327,1.88,"LeftTendency",2014
108,108,"Russell Henley",29,50.7,180,355,2.44,"LeftTendency",2014
108,108,"David Lingmerth",26,50.7,181,357,2.43,"LeftTendency",2014
110,110,"Nicholas Thompson",30,50.8,158,311,2.72,"LeftTendency",2014
111,111,"Luke Guthrie",26,50.9,215,422,1.16,"LeftTendency",2014
111,111,"William McGirt",29,50.9,198,389,1.21,"LeftTendency",2014
113,113,"Jason Kokrak",19,51,180,353,0.78,"LeftTendency",2014
114,114,"Scott Brown",30,51.1,191,374,1.83,"LeftTendency",2014
114,114,"Lucas Glover",26,51.1,117,229,2.39,"LeftTendency",2014
116,116,"Robert Garrigus",25,51.2,207,404,1.69,"LeftTendency",2014
117,117,"Ricky Barnes",27,51.3,245,478,0.82,"LeftTendency",2014
117,117,"Bud Cauley",19,51.3,136,265,2.5,"LeftTendency",2014
119,119,"Ryan Moore",24,51.4,130,253,2.77,"LeftTendency",2014
120,120,"Jeff Maggert",19,51.5,103,200,1.46,"LeftTendency",2014
121,121,"Keegan Bradley",26,51.6,175,339,2.29,"LeftTendency",2014
121,121,"Brian Stuard",29,51.6,177,343,1.98,"LeftTendency",2014
121,121,"Daniel Summerhays",27,51.6,206,399,1.55,"LeftTendency",2014
124,124,"Roberto Castro",27,51.7,153,296,1.96,"LeftTendency",2014
124,124,"Sean OHair",25,51.7,209,404,1.87,"LeftTendency",2014
124,124,"YE Yang",28,51.7,149,288,2.08,"LeftTendency",2014
127,127,"Chad Campbell",18,51.9,121,233,0.99,"LeftTendency",2014
127,127,"Brendon de Jonge",31,51.9,206,397,1.36,"LeftTendency",2014
129,129,"Ben Martin",26,52,156,300,1.54,"LeftTendency",2014
130,130,"Zach Johnson",26,52.2,179,343,1.56,"LeftTendency",2014
131,131,"Paul Casey",16,52.3,126,241,3.02,"LeftTendency",2014
132,132,"Bronson La Cassie",18,52.5,106,202,1.04,"LeftTendency",2014
132,132,"John Peterson",25,52.5,139,265,2.59,"LeftTendency",2014
134,134,"Briny Baird",17,52.7,117,222,3.08,"LeftTendency",2014
134,134,"Cameron Tringale",31,52.7,245,465,1.14,"LeftTendency",2014
136,136,"Erik Compton",28,52.8,214,405,2.2,"LeftTendency",2014
136,136,"Andres Romero",26,52.8,218,413,1.28,"LeftTendency",2014
138,138,"Stewart Cink",25,52.9,212,401,1.6,"LeftTendency",2014
139,139,"Brian Harman",32,53,286,540,1.96,"LeftTendency",2014
140,140,"JJ Henry",28,53.1,200,377,0.8,"LeftTendency",2014
140,140,"Heath Slocum",23,53.1,121,228,0.5,"LeftTendency",2014
142,142,"Woody Austin",22,53.2,160,301,1.81,"LeftTendency",2014
142,142,"Jason Bohn",25,53.2,184,346,2.17,"LeftTendency",2014
144,144,"JB Holmes",24,53.3,232,435,2.03,"LeftTendency",2014
144,144,"Matt Kuchar",24,53.3,178,334,1.18,"LeftTendency",2014
146,146,"Rory McIlroy",17,53.4,134,251,0.45,"LeftTendency",2014
147,147,"Andrew Svoboda",24,53.6,164,306,1.4,"LeftTendency",2014
148,148,"Webb Simpson",25,53.7,198,369,1.06,"LeftTendency",2014
149,149,"Camilo Villegas",29,53.8,240,446,1.83,"LeftTendency",2014
150,150,"Martin Laird",20,54.1,153,283,1.63,"LeftTendency",2014
151,151,"DA Points",27,54.4,155,285,2.97,"LeftTendency",2014
152,152,"Michael Thompson",22,54.5,170,312,2.29,"LeftTendency",2014
152,152,"Johnson Wagner",24,54.5,181,332,2.49,"LeftTendency",2014
154,154,"Jim Renner",25,54.7,169,309,2.6,"LeftTendency",2014
155,155,"Louis Oosthuizen",16,54.8,86,157,2.91,"LeftTendency",2014
156,156,"Kevin Stadler",26,55,166,302,2.47,"LeftTendency",2014
157,157,"Phil Mickelson",21,55.4,153,276,1.11,"LeftTendency",2014
158,158,"Brian Davis",28,55.7,199,357,1.66,"LeftTendency",2014
159,159,"Steven Bowditch",30,55.8,260,466,2.15,"LeftTendency",2014
160,160,"Robert Streb",21,56,191,341,0.99,"LeftTendency",2014
161,161,"Luke Donald",17,56.1,125,223,2.56,"LeftTendency",2014
161,161,"Henrik Stenson",15,56.1,83,148,2.89,"LeftTendency",2014
163,163,"Bo Van Pelt",25,56.3,187,332,1.87,"LeftTendency",2014
164,164,"Spencer Levin",20,56.5,140,248,2.36,"LeftTendency",2014
164,164,"Shawn Stefani",17,56.5,157,278,1.85,"LeftTendency",2014
166,166,"Billy Horschel",27,56.7,174,307,1.9,"LeftTendency",2014
167,167,"Brandt Snedeker",25,57,180,316,1.17,"LeftTendency",2014
168,168,"Graham DeLaet",24,57.4,190,331,2.26,"LeftTendency",2014
168,168,"Danny Lee",28,57.4,186,324,1.72,"LeftTendency",2014
170,170,"John Merrick",25,57.5,177,308,1.98,"LeftTendency",2014
171,171,"Billy Hurley III",26,57.9,168,290,2.56,"LeftTendency",2014
172,172,"Chesson Hadley",29,58.1,234,403,2.74,"LeftTendency",2014
173,173,"Davis Love III",22,58.4,202,346,2.03,"LeftTendency",2014
174,174,"Matt Every",26,58.7,212,361,1.46,"LeftTendency",2014
174,174,"Graeme McDowell",17,58.7,115,196,2.26,"LeftTendency",2014
174,174,"Tyrone Van Aswegen",25,58.7,233,397,2.1,"LeftTendency",2014
177,177,"Robert Allenby",29,63.8,229,359,1.44,"LeftTendency",2014
