"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2009","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2009","GIRPercentagefromOtherthanFairway_PLAYERNAME_2009","GIRPercentagefromOtherthanFairway_ROUNDS_2009","GIRPercentagefromOtherthanFairway_Pct_2009","GIRPercentagefromOtherthanFairway_GREENSHIT_2009","GIRPercentagefromOtherthanFairway_OFHOLES_2009","stat_name","year"
1,1,"Jonathan Byrd",89,61.4,245,399,"GIRPercentagefromOtherthanFairway",2009
2,2,"Troy Matteson",95,60.87,308,506,"GIRPercentagefromOtherthanFairway",2009
3,3,"Robert Garrigus",83,60.84,289,475,"GIRPercentagefromOtherthanFairway",2009
4,4,"Greg Owen",97,59.36,241,406,"GIRPercentagefromOtherthanFairway",2009
5,5,"Andres Romero",58,57.73,224,388,"GIRPercentagefromOtherthanFairway",2009
6,6,"DJ Trahan",96,57.5,253,440,"GIRPercentagefromOtherthanFairway",2009
7,7,"Sean OHair",80,57.46,235,409,"GIRPercentagefromOtherthanFairway",2009
8,8,"Bill Haas",91,57.11,257,450,"GIRPercentagefromOtherthanFairway",2009
9,9,"Charley Hoffman",97,56.54,324,573,"GIRPercentagefromOtherthanFairway",2009
10,10,"Ted Purdy",101,56.53,264,467,"GIRPercentagefromOtherthanFairway",2009
11,11,"Matt Jones",56,56.45,175,310,"GIRPercentagefromOtherthanFairway",2009
12,12,"Rich Beem",77,56.4,194,344,"GIRPercentagefromOtherthanFairway",2009
13,13,"Nicholas Thompson",96,56.17,264,470,"GIRPercentagefromOtherthanFairway",2009
14,14,"Jeff Maggert",79,56.03,195,348,"GIRPercentagefromOtherthanFairway",2009
15,15,"Charles Warren",63,55.75,160,287,"GIRPercentagefromOtherthanFairway",2009
16,16,"Tag Ridings",50,55.6,149,268,"GIRPercentagefromOtherthanFairway",2009
17,17,"Hunter Mahan",94,55.58,249,448,"GIRPercentagefromOtherthanFairway",2009
18,18,"Dustin Johnson",85,55.43,291,525,"GIRPercentagefromOtherthanFairway",2009
19,19,"Steve Marino",98,55.42,266,480,"GIRPercentagefromOtherthanFairway",2009
19,19,"Chris Stroud",88,55.42,235,424,"GIRPercentagefromOtherthanFairway",2009
21,21,"Tommy Armour III",58,55.34,140,253,"GIRPercentagefromOtherthanFairway",2009
22,22,"Davis Love III",89,55.29,277,501,"GIRPercentagefromOtherthanFairway",2009
23,23,"Greg Chalmers",85,55.15,214,388,"GIRPercentagefromOtherthanFairway",2009
24,24,"Kirk Triplett",60,55.07,125,227,"GIRPercentagefromOtherthanFairway",2009
25,25,"Briny Baird",89,55.01,214,389,"GIRPercentagefromOtherthanFairway",2009
26,26,"Charles Howell III",99,54.98,287,522,"GIRPercentagefromOtherthanFairway",2009
27,27,"Scott Piercy",85,54.91,274,499,"GIRPercentagefromOtherthanFairway",2009
28,28,"Kevin Streelman",97,54.67,275,503,"GIRPercentagefromOtherthanFairway",2009
29,29,"Glen Day",79,54.39,161,296,"GIRPercentagefromOtherthanFairway",2009
30,30,"Vijay Singh",71,54.35,206,379,"GIRPercentagefromOtherthanFairway",2009
31,31,"Michael Allen",73,54.07,166,307,"GIRPercentagefromOtherthanFairway",2009
32,32,"Martin Laird",72,54.02,195,361,"GIRPercentagefromOtherthanFairway",2009
33,33,"Steve Flesch",77,53.92,213,395,"GIRPercentagefromOtherthanFairway",2009
34,34,"YE Yang",83,53.79,234,435,"GIRPercentagefromOtherthanFairway",2009
35,35,"Woody Austin",84,53.77,228,424,"GIRPercentagefromOtherthanFairway",2009
36,36,"Jason Day",61,53.74,158,294,"GIRPercentagefromOtherthanFairway",2009
37,37,"Daniel Chopra",89,53.57,285,532,"GIRPercentagefromOtherthanFairway",2009
38,38,"Scott Sterling",51,53.49,115,215,"GIRPercentagefromOtherthanFairway",2009
38,38,"Jay Williamson",69,53.49,138,258,"GIRPercentagefromOtherthanFairway",2009
40,40,"Nick Watney",86,53.47,270,505,"GIRPercentagefromOtherthanFairway",2009
41,41,"Marc Leishman",91,53.46,263,492,"GIRPercentagefromOtherthanFairway",2009
42,42,"Jarrod Lyle",65,53.44,163,305,"GIRPercentagefromOtherthanFairway",2009
43,43,"Casey Wittenberg",71,53.4,165,309,"GIRPercentagefromOtherthanFairway",2009
44,44,"Justin Rose",71,53.33,184,345,"GIRPercentagefromOtherthanFairway",2009
45,45,"Chad Campbell",90,53.2,233,438,"GIRPercentagefromOtherthanFairway",2009
46,46,"Steve Stricker",81,53.15,194,365,"GIRPercentagefromOtherthanFairway",2009
46,46,"Camilo Villegas",76,53.15,211,397,"GIRPercentagefromOtherthanFairway",2009
48,48,"Robert Allenby",71,53.09,172,324,"GIRPercentagefromOtherthanFairway",2009
49,49,"Bo Van Pelt",100,53.08,233,439,"GIRPercentagefromOtherthanFairway",2009
50,50,"Ricky Barnes",67,52.91,182,344,"GIRPercentagefromOtherthanFairway",2009
51,51,"Lucas Glover",93,52.9,237,448,"GIRPercentagefromOtherthanFairway",2009
52,52,"John Senden",100,52.75,259,491,"GIRPercentagefromOtherthanFairway",2009
53,53,"John Rollins",92,52.51,220,419,"GIRPercentagefromOtherthanFairway",2009
54,54,"Fred Couples",54,52.41,174,332,"GIRPercentagefromOtherthanFairway",2009
55,55,"Rod Pampling",72,52.37,188,359,"GIRPercentagefromOtherthanFairway",2009
56,56,"Bubba Watson",73,52.3,250,478,"GIRPercentagefromOtherthanFairway",2009
57,57,"David Toms",98,52.29,183,350,"GIRPercentagefromOtherthanFairway",2009
58,58,"Spencer Levin",75,52.28,195,373,"GIRPercentagefromOtherthanFairway",2009
59,59,"Kevin Na",91,52.26,231,442,"GIRPercentagefromOtherthanFairway",2009
60,60,"Kent Jones",73,52.16,145,278,"GIRPercentagefromOtherthanFairway",2009
61,61,"Tom Pernice Jr",82,51.97,211,406,"GIRPercentagefromOtherthanFairway",2009
62,62,"Tiger Woods",64,51.94,161,310,"GIRPercentagefromOtherthanFairway",2009
63,63,"Ben Crane",93,51.91,217,418,"GIRPercentagefromOtherthanFairway",2009
64,64,"Sergio Garcia",59,51.83,170,328,"GIRPercentagefromOtherthanFairway",2009
65,65,"Brian Bateman",55,51.8,173,334,"GIRPercentagefromOtherthanFairway",2009
66,66,"Chris Riley",77,51.77,146,282,"GIRPercentagefromOtherthanFairway",2009
67,67,"Stewart Cink",79,51.76,220,425,"GIRPercentagefromOtherthanFairway",2009
68,68,"Brad Adamonis",70,51.72,210,406,"GIRPercentagefromOtherthanFairway",2009
69,69,"Jason Dufner",90,51.66,202,391,"GIRPercentagefromOtherthanFairway",2009
70,70,"Brett Quigley",92,51.57,247,479,"GIRPercentagefromOtherthanFairway",2009
71,71,"Alex Cejka",82,51.54,167,324,"GIRPercentagefromOtherthanFairway",2009
71,71,"Geoff Ogilvy",78,51.54,217,421,"GIRPercentagefromOtherthanFairway",2009
