"GreensinRegulationPercentage_RANKTHISWEEK_2014","GreensinRegulationPercentage_RANKLASTWEEK_2014","GreensinRegulationPercentage_PLAYERNAME_2014","GreensinRegulationPercentage_ROUNDS_2014","GreensinRegulationPercentage_Pct_2014","GreensinRegulationPercentage_GREENSHIT_2014","GreensinRegulationPercentage_HOLES_2014","GreensinRegulationPercentage_RELATIVEPAR_2014","stat_name","year"
28,28,"Jimmy Walker",98,67.59,1168,1728,-0.31,"GreensinRegulationPercentage",2014
30,30,"Bud Cauley",56,67.46,680,1008,-0.23,"GreensinRegulationPercentage",2014
31,31,"Zach Johnson",97,67.42,1165,1728,-0.27,"GreensinRegulationPercentage",2014
32,32,"Nick Watney",80,67.33,909,1350,-0.25,"GreensinRegulationPercentage",2014
33,33,"Heath Slocum",71,67.31,836,1242,-0.21,"GreensinRegulationPercentage",2014
34,34,"Ken Duke",80,67.17,943,1404,-0.22,"GreensinRegulationPercentage",2014
35,35,"Charley Hoffman",93,67.08,1123,1674,-0.29,"GreensinRegulationPercentage",2014
36,36,"Michael Putnam",106,67.05,1231,1836,-0.23,"GreensinRegulationPercentage",2014
37,37,"Lucas Glover",68,67,796,1188,-0.21,"GreensinRegulationPercentage",2014
38,38,"Seung Yul Noh",92,66.97,1109,1656,-0.25,"GreensinRegulationPercentage",2014
39,39,"Camilo Villegas",95,66.96,1145,1710,-0.28,"GreensinRegulationPercentage",2014
40,40,"Matt Kuchar",91,66.92,1060,1584,-0.28,"GreensinRegulationPercentage",2014
41,41,"Justin Rose",70,66.91,819,1224,-0.3,"GreensinRegulationPercentage",2014
42,42,"Daniel Summerhays",98,66.89,1180,1764,-0.27,"GreensinRegulationPercentage",2014
42,42,"Will Wilcox",51,66.89,590,882,-0.24,"GreensinRegulationPercentage",2014
44,44,"Kyle Stanley",87,66.87,999,1494,-0.2,"GreensinRegulationPercentage",2014
45,45,"Cameron Tringale",111,66.77,1334,1998,-0.25,"GreensinRegulationPercentage",2014
46,46,"Keegan Bradley",89,66.67,1056,1584,-0.29,"GreensinRegulationPercentage",2014
46,46,"Hunter Mahan",88,66.67,1020,1530,-0.25,"GreensinRegulationPercentage",2014
46,46,"Ryan Palmer",85,66.67,1020,1530,-0.3,"GreensinRegulationPercentage",2014
46,46,"Carl Pettersson",91,66.67,1092,1638,-0.25,"GreensinRegulationPercentage",2014
46,46,"Nicholas Thompson",85,66.67,972,1458,-0.21,"GreensinRegulationPercentage",2014
51,51,"Gary Woodland",93,66.55,1102,1656,-0.27,"GreensinRegulationPercentage",2014
52,52,"Martin Flores",85,66.54,1018,1530,-0.24,"GreensinRegulationPercentage",2014
53,53,"Brendan Steele",89,66.47,1017,1530,-0.27,"GreensinRegulationPercentage",2014
54,54,"Louis Oosthuizen",50,66.43,550,828,-0.23,"GreensinRegulationPercentage",2014
55,55,"David Hearn",97,66.38,1159,1746,-0.25,"GreensinRegulationPercentage",2014
55,55,"Jim Herman",62,66.38,693,1044,-0.23,"GreensinRegulationPercentage",2014
57,57,"Stewart Cink",91,66.36,1087,1638,-0.25,"GreensinRegulationPercentage",2014
58,58,"Martin Laird",66,66.31,740,1116,-0.26,"GreensinRegulationPercentage",2014
59,59,"Jason Dufner",57,66.26,644,972,-0.26,"GreensinRegulationPercentage",2014
60,60,"Shawn Stefani",60,66.2,715,1080,-0.25,"GreensinRegulationPercentage",2014
61,61,"George McNeill",79,66.17,941,1422,-0.28,"GreensinRegulationPercentage",2014
62,62,"Ben Martin",80,66.04,951,1440,-0.27,"GreensinRegulationPercentage",2014
63,63,"Billy Hurley III",86,65.89,1020,1548,-0.23,"GreensinRegulationPercentage",2014
64,64,"Jeff Overton",80,65.79,900,1368,-0.26,"GreensinRegulationPercentage",2014
65,65,"Paul Casey",56,65.77,663,1008,-0.29,"GreensinRegulationPercentage",2014
65,65,"Graeme McDowell",66,65.77,734,1116,-0.28,"GreensinRegulationPercentage",2014
67,67,"Jeff Maggert",54,65.74,639,972,-0.2,"GreensinRegulationPercentage",2014
68,68,"Michael Thompson",74,65.69,875,1332,-0.27,"GreensinRegulationPercentage",2014
69,69,"Robert Streb",75,65.65,839,1278,-0.27,"GreensinRegulationPercentage",2014
70,70,"Will Ma Kenzie",82,65.58,968,1476,-0.29,"GreensinRegulationPercentage",2014
71,71,"Jerry Kelly",80,65.56,944,1440,-0.28,"GreensinRegulationPercentage",2014
71,71,"John Peterson",62,65.56,708,1080,-0.21,"GreensinRegulationPercentage",2014
73,73,"Vijay Singh",83,65.39,977,1494,-0.22,"GreensinRegulationPercentage",2014
74,74,"Jason Kokrak",65,65.38,765,1170,-0.3,"GreensinRegulationPercentage",2014
74,74,"Rory Sabbatini",82,65.38,918,1404,-0.25,"GreensinRegulationPercentage",2014
76,76,"Kevin Kisner",85,65.29,999,1530,-0.27,"GreensinRegulationPercentage",2014
77,77,"Trevor Immelman",84,65.28,940,1440,-0.22,"GreensinRegulationPercentage",2014
77,77,"Webb Simpson",87,65.28,987,1512,-0.27,"GreensinRegulationPercentage",2014
79,79,"Phil Mickelson",71,65.26,834,1278,-0.29,"GreensinRegulationPercentage",2014
80,80,"Marc Leishman",81,65.21,939,1440,-0.29,"GreensinRegulationPercentage",2014
80,80,"Chris Stroud",88,65.21,1033,1584,-0.29,"GreensinRegulationPercentage",2014
82,82,"Charlie Beljan",76,65.2,845,1296,-0.27,"GreensinRegulationPercentage",2014
83,83,"Brice Garnett",92,65.15,1032,1584,-0.25,"GreensinRegulationPercentage",2014
84,84,"Robert Garrigus",80,65.14,938,1440,-0.29,"GreensinRegulationPercentage",2014
85,85,"Ted Potter Jr",68,65.11,797,1224,-0.22,"GreensinRegulationPercentage",2014
86,86,"Josh Teater",90,65.09,1031,1584,-0.24,"GreensinRegulationPercentage",2014
87,87,"Brad Fritsch",50,65.05,562,864,-0.26,"GreensinRegulationPercentage",2014
87,87,"Troy Merritt",62,65.05,726,1116,-0.27,"GreensinRegulationPercentage",2014
89,89,"Scott Brown",100,65,1170,1800,-0.27,"GreensinRegulationPercentage",2014
90,90,"Angel Cabrera",69,64.98,807,1242,-0.26,"GreensinRegulationPercentage",2014
90,90,"Brooks Koepka",56,64.98,655,1008,-0.31,"GreensinRegulationPercentage",2014
92,92,"Ricky Barnes",92,64.96,1029,1584,-0.26,"GreensinRegulationPercentage",2014
92,92,"Ryo Ishikawa",75,64.96,877,1350,-0.31,"GreensinRegulationPercentage",2014
94,94,"Jamie Lovemark",64,64.91,701,1080,-0.26,"GreensinRegulationPercentage",2014
95,95,"Jonathan Byrd",76,64.89,841,1296,-0.25,"GreensinRegulationPercentage",2014
96,96,"John Rollins",84,64.86,934,1440,-0.21,"GreensinRegulationPercentage",2014
97,97,"Jason Bohn",81,64.75,944,1458,-0.26,"GreensinRegulationPercentage",2014
98,98,"Kevin Na",94,64.72,1095,1692,-0.29,"GreensinRegulationPercentage",2014
99,99,"Martin Kaymer",65,64.58,744,1152,-0.29,"GreensinRegulationPercentage",2014
100,100,"Rickie Fowler",91,64.51,987,1530,-0.3,"GreensinRegulationPercentage",2014
100,100,"Davis Love III",74,64.51,836,1296,-0.25,"GreensinRegulationPercentage",2014
100,100,"Geoff Ogilvy",84,64.51,929,1440,-0.23,"GreensinRegulationPercentage",2014
103,103,"Brendon de Jonge",109,64.48,1265,1962,-0.25,"GreensinRegulationPercentage",2014
104,104,"Danny Lee",84,64.44,928,1440,-0.27,"GreensinRegulationPercentage",2014
105,105,"William McGirt",96,64.41,1113,1728,-0.27,"GreensinRegulationPercentage",2014
106,106,"John Huh",87,64.39,962,1494,-0.23,"GreensinRegulationPercentage",2014
107,107,"Pat Perez",84,64.35,973,1512,-0.26,"GreensinRegulationPercentage",2014
107,107,"Kevin Tway",64,64.35,695,1080,-0.2,"GreensinRegulationPercentage",2014
109,109,"Spencer Levin",59,64.31,683,1062,-0.24,"GreensinRegulationPercentage",2014
110,110,"Tim Clark",75,64.3,868,1350,-0.25,"GreensinRegulationPercentage",2014
111,111,"Brian Harman",111,64.26,1284,1998,-0.28,"GreensinRegulationPercentage",2014
112,112,"Wes Roach",67,64.2,728,1134,-0.26,"GreensinRegulationPercentage",2014
113,113,"Tyrone Van Aswegen",79,64.17,901,1404,-0.26,"GreensinRegulationPercentage",2014
114,114,"Scott Langley",95,64.16,1074,1674,-0.27,"GreensinRegulationPercentage",2014
115,115,"Johnson Wagner",69,64.1,750,1170,-0.23,"GreensinRegulationPercentage",2014
116,116,"Hideki Matsuyama",82,64.03,922,1440,-0.28,"GreensinRegulationPercentage",2014
117,117,"Tommy Gainey",73,64.01,795,1242,-0.27,"GreensinRegulationPercentage",2014
118,118,"Jason Day",54,64,553,864,-0.28,"GreensinRegulationPercentage",2014
119,119,"Brendon Todd",108,63.99,1244,1944,-0.27,"GreensinRegulationPercentage",2014
120,120,"James Hahn",82,63.96,921,1440,-0.23,"GreensinRegulationPercentage",2014
121,121,"Bryce Molder",77,63.93,840,1314,-0.26,"GreensinRegulationPercentage",2014
122,122,"Brian Stuard",91,63.86,1000,1566,-0.28,"GreensinRegulationPercentage",2014
123,123,"Lee Westwood",57,63.69,642,1008,-0.29,"GreensinRegulationPercentage",2014
124,124,"Retief Goosen",94,63.64,1031,1620,-0.25,"GreensinRegulationPercentage",2014
124,124,"Patrick Reed",92,63.64,1031,1620,-0.28,"GreensinRegulationPercentage",2014
126,126,"Luke Guthrie",85,63.53,972,1530,-0.29,"GreensinRegulationPercentage",2014
126,126,"Charl Schwartzel",64,63.53,709,1116,-0.31,"GreensinRegulationPercentage",2014
128,128,"Derek Ernst",80,63.52,869,1368,-0.22,"GreensinRegulationPercentage",2014
129,129,"Chris Kirk",105,63.46,1188,1872,-0.28,"GreensinRegulationPercentage",2014
130,130,"Briny Baird",50,63.44,571,900,-0.22,"GreensinRegulationPercentage",2014
130,130,"Ben Crane",81,63.44,925,1458,-0.25,"GreensinRegulationPercentage",2014
132,132,"Sean OHair",77,63.42,879,1386,-0.25,"GreensinRegulationPercentage",2014
133,133,"Steven Bowditch",93,63.38,1061,1674,-0.26,"GreensinRegulationPercentage",2014
134,134,"Matt Every",85,63.33,969,1530,-0.27,"GreensinRegulationPercentage",2014
135,135,"David Lingmerth",80,63.3,866,1368,-0.25,"GreensinRegulationPercentage",2014
136,136,"Brandt Snedeker",89,63.28,991,1566,-0.28,"GreensinRegulationPercentage",2014
137,137,"Matt Jones",83,63.25,945,1494,-0.3,"GreensinRegulationPercentage",2014
137,137,"Kevin Streelman",79,63.25,888,1404,-0.28,"GreensinRegulationPercentage",2014
137,137,"Mark Wilson",69,63.25,740,1170,-0.19,"GreensinRegulationPercentage",2014
140,140,"Scott Stallings",77,63.16,864,1368,-0.24,"GreensinRegulationPercentage",2014
141,141,"Andrew Loupe",65,63.11,693,1098,-0.26,"GreensinRegulationPercentage",2014
142,142,"Erik Compton",88,63.07,999,1584,-0.27,"GreensinRegulationPercentage",2014
143,143,"Chesson Hadley",84,63.03,953,1512,-0.27,"GreensinRegulationPercentage",2014
144,144,"Luke Donald",57,63,635,1008,-0.26,"GreensinRegulationPercentage",2014
145,145,"Stuart Appleby",92,62.96,1020,1620,-0.27,"GreensinRegulationPercentage",2014
146,146,"Sangmoon Bae",76,62.94,861,1368,-0.29,"GreensinRegulationPercentage",2014
147,147,"Morgan Hoffmann",103,62.74,1118,1782,-0.29,"GreensinRegulationPercentage",2014
148,148,"DA Points",75,62.71,824,1314,-0.22,"GreensinRegulationPercentage",2014
148,148,"Jim Renner",61,62.71,666,1062,-0.22,"GreensinRegulationPercentage",2014
150,150,"Ben Curtis",77,62.63,823,1314,-0.24,"GreensinRegulationPercentage",2014
151,151,"Freddie Jacobson",91,62.58,1025,1638,-0.28,"GreensinRegulationPercentage",2014
152,152,"Jordan Spieth",102,62.47,1102,1764,-0.31,"GreensinRegulationPercentage",2014
153,153,"Ian Poulter",57,62.4,629,1008,-0.28,"GreensinRegulationPercentage",2014
154,154,"KJ Choi",80,62.08,894,1440,-0.28,"GreensinRegulationPercentage",2014
155,155,"Troy Matteson",62,61.97,647,1044,-0.23,"GreensinRegulationPercentage",2014
156,156,"Russell Henley",92,61.84,1024,1656,-0.28,"GreensinRegulationPercentage",2014
157,157,"Tim Wilkinson",86,61.72,911,1476,-0.26,"GreensinRegulationPercentage",2014
158,158,"YE Yang",79,61.68,866,1404,-0.25,"GreensinRegulationPercentage",2014
159,159,"Ernie Els",85,61.6,876,1422,-0.26,"GreensinRegulationPercentage",2014
160,160,"Brian Davis",93,61.47,1029,1674,-0.26,"GreensinRegulationPercentage",2014
161,161,"Bronson La Cassie",51,61.35,519,846,-0.23,"GreensinRegulationPercentage",2014
162,162,"Jonas Blixt",64,61.11,682,1116,-0.28,"GreensinRegulationPercentage",2014
163,163,"JB Holmes",86,60.92,943,1548,-0.29,"GreensinRegulationPercentage",2014
164,164,"James Driscoll",71,60.88,778,1278,-0.27,"GreensinRegulationPercentage",2014
165,165,"Charlie Wi",72,60.87,767,1260,-0.24,"GreensinRegulationPercentage",2014
166,166,"Gonzalo Fdez Castano",83,60.84,898,1476,-0.25,"GreensinRegulationPercentage",2014
167,167,"Woody Austin",63,60.83,646,1062,-0.24,"GreensinRegulationPercentage",2014
168,168,"Andres Romero",81,60.53,839,1386,-0.28,"GreensinRegulationPercentage",2014
169,169,"Roberto Castro",76,60.44,805,1332,-0.25,"GreensinRegulationPercentage",2014
170,170,"Chad Collins",78,59.98,799,1332,-0.25,"GreensinRegulationPercentage",2014
171,171,"Richard Lee",80,59.97,842,1404,-0.26,"GreensinRegulationPercentage",2014
172,172,"DH Lee",54,59.89,539,900,-0.2,"GreensinRegulationPercentage",2014
173,173,"Greg Chalmers",85,59.88,873,1458,-0.27,"GreensinRegulationPercentage",2014
174,174,"Aaron Baddeley",74,59.8,775,1296,-0.29,"GreensinRegulationPercentage",2014
175,175,"Brian Gay",81,59.21,842,1422,-0.24,"GreensinRegulationPercentage",2014
176,176,"Justin Leonard",75,57.78,780,1350,-0.25,"GreensinRegulationPercentage",2014
177,177,"Mike Weir",69,57.44,672,1170,-0.24,"GreensinRegulationPercentage",2014
