"BallSpeed_RANKTHISWEEK_2007","BallSpeed_RANKLASTWEEK_2007","BallSpeed_PLAYERNAME_2007","BallSpeed_ROUNDS_2007","BallSpeed_AVG_2007","BallSpeed_TOTALBALLSPEED_2007","BallSpeed_TOTALATTEMPTS_2007","BallSpeed_FASTESTSPEED_2007","BallSpeed_SLOWESTSPEED_2007","stat_name","year"
1,1,"Bubba Watson",80,182.88,6400.65,35,187.07,177.86,"BallSpeed",2007
2,2,"JB Holmes",71,182.55,6571.63,36,189.69,172.65,"BallSpeed",2007
3,3,"Tiger Woods",63,182.17,6011.48,33,187.04,170.74,"BallSpeed",2007
4,4,"John Daly",59,180.55,4513.82,25,186.8,164.83,"BallSpeed",2007
5,5,"Robert Garrigus",95,179.19,10393.28,58,185.24,170.17,"BallSpeed",2007
6,6,"Brett Wetterich",88,178.64,8753.43,49,182.4,171.6,"BallSpeed",2007
7,7,"Phil Mickelson",73,177.69,5686.14,32,182.5,173.1,"BallSpeed",2007
8,8,"Chris Couch",76,177.48,9583.88,54,181.76,171.94,"BallSpeed",2007
9,9,"Charles Howell III",89,176.92,9376.97,53,181.1,168.83,"BallSpeed",2007
10,10,"Nick Watney",87,176.77,9368.71,53,181.62,167.79,"BallSpeed",2007
11,11,"Charley Hoffman",97,176.32,11460.52,65,183.52,166.17,"BallSpeed",2007
12,12,"Tag Ridings",52,176.06,4577.47,26,182.07,162.29,"BallSpeed",2007
13,13,"Lucas Glover",98,176.04,9506.35,54,181.27,167.4,"BallSpeed",2007
14,14,"Sergio Garcia",68,175.61,7551.13,43,181.35,167.09,"BallSpeed",2007
15,15,"Scott Gutschewski",67,175.42,4736.44,27,179.87,164.69,"BallSpeed",2007
16,16,"Henrik Stenson",52,175.39,4910.82,28,181.57,164.12,"BallSpeed",2007
17,17,"Anthony Kim",93,175.27,9639.63,55,181.92,170.39,"BallSpeed",2007
18,18,"Davis Love III",66,174.83,7517.5,43,180.75,161.09,"BallSpeed",2007
19,19,"Bill Haas",93,174.46,9246.47,53,180.49,167.06,"BallSpeed",2007
20,20,"Adam Scott",69,174.23,7840.24,45,179.13,167.4,"BallSpeed",2007
21,21,"Harrison Frazar",88,173.71,7469.5,43,179.8,158.44,"BallSpeed",2007
22,22,"Jason Gore",86,173.66,9725.09,56,179.76,159.51,"BallSpeed",2007
23,23,"Aaron Baddeley",83,173.05,6748.77,39,177.63,163.99,"BallSpeed",2007
24,24,"Retief Goosen",50,172.92,4668.76,27,176.3,157.4,"BallSpeed",2007
25,25,"Charles Warren",101,172.87,11409.71,66,176.96,164.65,"BallSpeed",2007
26,26,"John Senden",97,172.69,10706.96,62,177.23,160.13,"BallSpeed",2007
27,27,"Ernie Els",59,172.59,5695.6,33,175.71,169.66,"BallSpeed",2007
28,28,"Pat Perez",84,172.52,6210.82,36,178.32,163.58,"BallSpeed",2007
29,29,"George McNeill",95,172.41,9654.76,56,177.8,164.99,"BallSpeed",2007
30,30,"Troy Matteson",87,172.31,9477.21,55,178.17,159.5,"BallSpeed",2007
31,31,"Greg Owen",81,172.18,7231.4,42,177.93,164.86,"BallSpeed",2007
32,32,"Robert Allenby",90,171.96,9113.92,53,176.76,165.95,"BallSpeed",2007
33,33,"Geoff Ogilvy",84,171.88,8937.93,52,176.81,167.09,"BallSpeed",2007
34,34,"Kyle Reifers",71,171.6,5148,30,175.78,163.76,"BallSpeed",2007
35,35,"Padraig Harrington",64,171.49,5830.67,34,175.82,167.86,"BallSpeed",2007
36,36,"JJ Henry",86,171.18,8216.7,48,175.62,165,"BallSpeed",2007
37,37,"Paul Stankowski",52,170.95,4273.77,25,175.26,165.5,"BallSpeed",2007
38,38,"Ryan Palmer",91,170.91,9058.35,53,176.06,162.9,"BallSpeed",2007
39,39,"Daniel Chopra",106,170.9,11621.53,68,176.24,159.54,"BallSpeed",2007
40,40,"Jonathan Byrd",73,170.88,8373.01,49,175.04,163.46,"BallSpeed",2007
41,41,"Sean OHair",98,170.77,10928.97,64,178.67,156.33,"BallSpeed",2007
42,42,"Matt Hendrix",63,170.41,6305.11,37,177.04,158.38,"BallSpeed",2007
43,43,"Michael Sim",52,170.32,5450.25,32,178.06,161.58,"BallSpeed",2007
44,44,"Boo Weekley",101,170.29,8173.96,48,173.86,164.84,"BallSpeed",2007
45,45,"Trevor Immelman",74,170.25,6469.42,38,174.09,161.39,"BallSpeed",2007
46,46,"Camilo Villegas",82,170.24,7320.11,43,174.09,159.82,"BallSpeed",2007
47,47,"Bo Van Pelt",104,170.18,11232.1,66,178.24,163.15,"BallSpeed",2007
48,48,"Michael Putnam",96,170.13,7826.16,46,174.84,164.29,"BallSpeed",2007
49,49,"Brendon de Jonge",76,170.08,7143.37,42,175.19,161.16,"BallSpeed",2007
50,50,"Stuart Appleby",74,169.92,10025.28,59,175.64,155.98,"BallSpeed",2007
51,51,"Jeff Overton",60,169.84,6453.9,38,176.46,166.31,"BallSpeed",2007
52,52,"Mathew Goggin",97,169.56,10512.56,62,176.47,159.3,"BallSpeed",2007
53,53,"Rory Sabbatini",81,169.5,7457.79,44,172.57,163.49,"BallSpeed",2007
54,54,"Steve Allan",63,169.4,6437.24,38,173.75,165.46,"BallSpeed",2007
55,55,"John Rollins",102,169.1,10822.49,64,172.43,164.5,"BallSpeed",2007
56,56,"Stewart Cink",91,168.94,10981.27,65,174,161.52,"BallSpeed",2007
57,57,"Kevin Stadler",95,168.81,8609.15,51,173.78,151.75,"BallSpeed",2007
58,58,"Ted Purdy",102,168.78,9283,55,174.74,158.76,"BallSpeed",2007
59,59,"Jose Maria Olazabal",52,168.72,4386.73,26,173.24,157.4,"BallSpeed",2007
60,60,"Vijay Singh",102,168.65,11468.29,68,173.5,162.52,"BallSpeed",2007
60,60,"DJ Trahan",99,168.65,9612.92,57,176.27,156.58,"BallSpeed",2007
62,62,"Chris Tidland",59,168.63,7250.95,43,175.14,160.4,"BallSpeed",2007
63,63,"Hunter Mahan",91,168.47,8592.05,51,172.87,158.07,"BallSpeed",2007
64,64,"Brett Quigley",79,168.43,6568.89,39,174.92,163.13,"BallSpeed",2007
65,65,"Mathias Gronberg",95,168.28,10433.56,62,174.04,158.04,"BallSpeed",2007
66,66,"Andrew Buckle",77,168.21,8915.15,53,174.85,162.16,"BallSpeed",2007
67,67,"Bubba Dickerson",51,168.13,4539.61,27,172.14,163.16,"BallSpeed",2007
68,68,"Carl Pettersson",111,167.85,12756.47,76,173.35,162.24,"BallSpeed",2007
69,69,"Joe Durant",88,167.65,9556.24,57,172.93,161.87,"BallSpeed",2007
69,69,"Ryan Moore",92,167.65,10562.26,63,172.25,163.27,"BallSpeed",2007
71,71,"Will Ma Kenzie",100,167.56,11561.35,69,172.62,161.41,"BallSpeed",2007
71,71,"Steve Marino",106,167.56,9383.36,56,172.73,162.83,"BallSpeed",2007
71,71,"Jim Rutledge",59,167.56,4524.12,27,175.43,162.05,"BallSpeed",2007
74,74,"Jason Schultz",63,167.55,4858.95,29,173.65,161.89,"BallSpeed",2007
75,75,"Craig Barlow",52,167.49,4354.65,26,170.39,163.73,"BallSpeed",2007
76,76,"Chad Campbell",96,167.28,9534.8,57,176.87,158.66,"BallSpeed",2007
76,76,"Bryce Molder",56,167.28,4851.19,29,174.47,154.84,"BallSpeed",2007
78,78,"Marco Dawson",73,167.19,7021.81,42,171.7,157.47,"BallSpeed",2007
79,79,"Steve Wheatcroft",73,167.06,6515.28,39,172.04,156.22,"BallSpeed",2007
80,80,"Rich Beem",89,167.01,9853.83,59,171.49,163.13,"BallSpeed",2007
81,81,"Rod Pampling",92,166.78,9673.38,58,171.11,160.66,"BallSpeed",2007
82,82,"Rich Barcelo",80,166.74,7836.58,47,177.29,148.95,"BallSpeed",2007
83,83,"John Merrick",92,166.72,9670.01,58,175.84,159,"BallSpeed",2007
84,84,"Todd Hamilton",76,166.69,6834.36,41,171.71,159.69,"BallSpeed",2007
84,84,"Kenny Perry",83,166.69,9168.12,55,171.95,155.87,"BallSpeed",2007
86,86,"Chris Stroud",66,166.54,6328.4,38,173.33,160.99,"BallSpeed",2007
87,87,"Mark Calcavecchia",93,166.39,9484.2,57,171.51,158.41,"BallSpeed",2007
88,88,"Peter Lonard",85,166.35,8816.51,53,170.43,160.04,"BallSpeed",2007
89,89,"Woody Austin",95,166.33,11143.81,67,171.6,159.15,"BallSpeed",2007
90,90,"Jarrod Lyle",77,166.28,7981.54,48,172.14,158.52,"BallSpeed",2007
